// key	CHAT_SPA_
sc001_spa_1	ふぅ…\心も体もしっかりケアしなくちゃですよね♥
sc305_spa_max	私の名前はリタ。\悪魔の洗礼によって生まれ変わり、\神に無垢なる魂を捧げる下僕。
sc308_spa_1	ちょうど良い湯加減だ…
sc308_spa_2	ハハハ！確かに難しいね。\でも、このまま退くわけにはいかないんだよ。\誰になんと言われようが、最後まで\耐えるしかないのさ！
sc308_spa_3	人の顔色を伺うんじゃないよ、小僧！\悪魔の戦いは、どれだけハッタリをかますかだ。\お前が怖がっても、それを相手に\悟られないようにするんだ。
sc308_spa_4	卑劣じゃない悪魔はゴミだ。\迎合的で、素直でつまらないヤツも同じさ。\悪どいヤツらが思いっきり暴れる地獄！\私は、そんな魔界を作るまで\止まるつもりはないよ！
sc308_spa_5	這いつくばって泥水を啜ろうと最後まで\生き残ったヤツの勝ちさ！\ハハハ！お前はこのクババを破ったことを\誇りに思いな！
sc308_spa_max	素直なヤツは飼いならす楽しみがない。\悪魔らしい悪魔ほど、相手するのが\楽しいんだよ。\さぁ、お前の運命から逃げてみせろ！\そしたら、追いかける楽しみがあるからね。
sc310_spa_1	今日は遠足で《おんせん》にきたんだ～！\うわぁ～あったか～い♪
sc310_spa_2	となりにいたお姉ちゃんが\《気持ちいい》って言ってたよ。\温泉は熱いのに《気持ちいい》って\変だよね～
sc310_spa_3	モナお姉ちゃんが温泉から出たら\バナナミルク買ってくれるって言ってたよ。\でも悪魔のお兄ちゃんには、秘密だって\悪魔のお兄ちゃんは子供じゃないから\買ってあげないんだって。
sc310_spa_4	悪魔のお兄ちゃん、魔王争奪戦は\いつ終わるの？魔王争奪戦が終わったら、\一緒に遠足に行こう？\地獄でも春ってあるの？\知りたいこといっぱい！
sc310_spa_5	明日は少し雨が降るんだって。\そしたらベスといっしょに遊ぼう！\素敵な傘を持った人がいっぱいだよ。\明日はきっと悪魔のお兄ちゃんもベスも\楽しくなるよ。
sc310_spa_max	今日はとっても特別な日だね。\魔王争奪戦が終わったら、良い魔王になった\お兄ちゃんと一緒に歌を歌うの。\そしたらお友達いっぱい作れるよ！\みんなで一緒に遊べたらいいな！
sc311_spa_1	…油断できないな。
sc311_spa_2	ふん。温泉の管理人から、\喧嘩は禁止だと言われている。\致し方ない。\運が良かったと思え。
sc311_spa_3	どいつもこいつも、\バカみたいにヘラヘラと…。\全く愚かな奴らだ。\悪魔のくせに、平和ボケでもしているのか？\今は魔王争奪戦の真っ最中だぞ？
sc311_spa_4	私の名前…\生まれた時に名付けられた名前か。\いや…私にふさわしい名前を「誰か」から\奪ってきただけだ。\元の名前に未練などない。
sc311_spa_5	悪魔として生まれ、\悪魔として死ぬことに不満などない。\しかし、お前はそのままで良いのか？\まあ…見る限り、不満はなさそうだが。
sc311_spa_max	…なぜか、ここに来るたびに\会っているようだが、私の勘違いか？\お前の心中など知ったことではないが、\よく目につく。\いや、つまらんことを言ったな、許せ。
sc312_spa_1	ティータイムですか～？\悪くないですね～
sc312_spa_2	マスターはわかってませんね。\ナイフの美学を…\まぁ、知らなくて当然ですけどね…
sc312_spa_3	甘くて冷たいストロベリーシェイクに\生クリームたっぷりのいちごのケーキが\食べたいですね。
sc312_spa_4	マスターにナイフの美学を\教えてあげましょう！ふふふ…\あれ？どこに行っちゃうんですか？\あ～あ。せっかく優しく教えてあげようと\思ったのに…
sc312_spa_5	ナイフは使わなければ錆びてしまいます。\だから何回も戦わないといけないんです。\悪く思わないでくださいね。
sc312_spa_max	どんなナイフでも\磨けばとても鋭くなります。\…マスターも同じですよ。
sc315_spa_1	くくっ…私と一緒で光栄でしょう？
sc315_spa_2	ふふ、水面に映る私の顔に乾杯…\っ！？なんだ、あなたでしたか…\つまらないものを見せないでください。
sc315_spa_3	お金になりそうな事なら大抵してますね。\ボタンさんの研究費が馬鹿にならなくて…\そろそろ一山当てて、楽をしたいですね。
sc315_spa_4	《究極の美》というのは、\結局は個人の基準の1つにすぎません。\《永遠の美しさ》など、しょせん幻です。\しかし…時には慰めになります。
sc315_spa_5	悪魔にあるのは時間だけですから。\もう少し長期的な目標を持ってみては？\私は今まで、終わりがないという退屈さで\道に迷う悪魔たちを数多く\見てきましたから。
sc315_spa_max	《Re:birthプロジェクト》とは、\悪魔のためのもので、《究極の美》は、\短期目標のうちの1つです。\何かご入用のものはありますか？\誠心誠意お手伝いしますよ。
sc316_spa_1	う～ん…\文字がよく見えない…
sc316_spa_2	ふぅ～休んでる場合じゃないのに…\メトセラったら、また研究とか調査とか\言って出かけたの。役立たずのくせに。\成果を上げてくれないと困るのよ！
sc316_spa_3	ふ～ん。\あなたとは縁がありそうね。\え？顔なじみだから値引きしてくれって？\あっはっはっ！\今年、聞いた中で1番ウケるギャグね！
sc316_spa_4	悪魔にとって美しさは一番大切よ。\あなたの想像よりもっと大切なんだから。\私は悪魔が自分自身に夢中になれる\チャンスを与えたいの。
sc316_spa_5	毎日ブサイクってからかって\ごめんなさいね。\嘘のつき方なんて魔王から教わってないし…\あはははっ、冗談よ！\私はあなたが可愛いと思ってるの。
sc316_spa_max	魔王争奪戦が終わる前に支援して\もらえなかったらどうするの？\…ねぇ、私のパートナーにならない？\損なんて絶対にさせないから。
sc317_spa_1	ホント、わかりませんね。\あなたの行動は…はぁ～
sc317_spa_2	ああ～出来ることは1つもないし、\クババ様は私の顔を見ても、無視するし…\早いところ、クババ様に良い印象を与える\手立てを考えなければなりませんね。
sc317_spa_3	獣って本当に可愛いですね。\一度手懐ければ、死ぬまで忠誠を尽くす。\相手が何を考えているかも分からないのに…\ま、そんなところが気持ち悪くて\可愛いんですがね。
sc317_spa_4	《魔王争奪戦》…\どこかの誰かさんのおかげで\まだ、《魔王候補生》でいられますが、\クババ様が命令されたらいつでも…
sc317_spa_5	ずいぶんと、安心しきってますね～\私は、悪魔で魔王候補生ではありますが\あなたのような悪魔は信用できません。
sc317_spa_max	今日はとても楽しかったです。\あなたがいなければ言うことないんですが…\私は、自分のしたことは理解していますよ？\あなたのことを恨んではいませんが、\私は、あなたが嫌いです。
sc318_spa_1	はあ…極楽…♪
sc318_spa_2	この世に存在するのは\生者だけではありません。\この世のどこかには\亡者も存在しているのです。
sc318_spa_3	わたくしにとっては、\生者も亡者もどちらも大事。\亡者たちは特別な存在なのです。
sc318_spa_4	この世界は本当に広いものです。\そして…目の届かない遥か彼方。\遠い世界からわたくしたちは、\見守られているのです。
sc318_spa_5	わたくしのことをお疑いのようですが…\わたくしに与えられた役目は、\生きとし生ける者と亡者との関係を繋ぐこと。\それがわたくしの義務です。
sc318_spa_max	大切なお話があります。\今日は水にお気を付けください。\…災いを被るかもしれません。
sc319_spa_1	はあ…極楽…♪
sc319_spa_2	若様にお会いできてうれしいです。\…それにしても、いつもお顔の色が\すぐれませんね。
sc319_spa_3	若様にはいつも感謝しています。\いつか若様に恩返しできる日を\心待ちにしておりますので、\私にお手伝いできることがあるのならば、\いつでもお呼びください。
sc319_spa_4	心に思うことがおありのようでしたら、\私にお打ち開けください。\胸の内に溜めこまず、お話しいただくことが\一番です。
sc319_spa_5	若様。\どうぞこちらにおいでください。\お話したいことがたくさんございます。
sc319_spa_max	私は若様を信じております。\魔界に失望し、人間界に身を落とした\私にとって唯一の希望なのです。
sc321_spa_1	入っていいですよ。\ほら、私の隣に座って。
sc321_spa_2	今日は私とゆっくりお話をしましょう。\心を開いて、目と目を見つめ合いながら…\ウフフ、恥ずかしがり屋の悪魔さんには\難しかったですか？
sc321_spa_3	たまには、このような時間を持つのも\いいですね。\ですが、少し彼女に申し訳ない気持ちに\なってしまいます。\あの子、今頃何をしているのでしょう…？
sc321_spa_4	悪魔さんの傍は落ち着きます。\いつまでも変わらず…\きっと、悪魔さんのそういうところが、\他のチャイルド達も好きなんでしょうね。
sc321_spa_5	チャイルドになったことで、\もっと変化があると思いましたが…\良かった事は、悪魔さんに\会えたことですね。\フフ…なかなか素敵な人生ですね。
sc321_spa_max	終わりではなく、始まり。\怠けているように見えて、実は努力しているのはちゃんと分かっていますよ。\だから、私も置いていかれないように、\前に進まなきゃいけませんね！
sc324_spa_1	本当に素晴らしいところですね～
sc324_spa_2	モナの夢は魔界最高のサポーターに\なることです！\な、なんで笑うんですか？！
sc324_spa_3	優秀なサポーターである\モナのご主人様になれたことを\幸運だと思ってくださいね～
sc324_spa_4	モナの願い事ですか～？\それはもちろん、ご主人様が\魔王になることですよ～
sc324_spa_5	モナの夢を話すと、\皆がそろって無理だと笑いますが、\必ず夢を叶えてみせます！\だって夢は大きければ大きいほど、\叶える楽しさがありますからね！
sc324_spa_max	モナにとって一番大切なのはご主人様です。\ご主人様もそう思ってくださっているかは\わかりませんけど…
sc329_spa_1	はぁ～っ…\DF1レース楽しかったけど\ダビ疲れちゃった～
sc329_spa_2	休憩中はイメージトレ…なんだっけ？\あっ、イメージトレーニングをすると\いいんだって！
sc329_spa_3	ご主人！\ダビのためにDF1マシン買って買って～！
sc329_spa_4	ゼピュロスが言ってたの。\走る時はちゃんと目を開けるんだって。\次は目をつぶって走ろうかな？\えへへっ。
sc329_spa_max	ダビ、DF1レース大好き！\でも、一番大好きなのはモナ姉さまだよ！
sc332_spa_1	はぁ～まさに極楽だね～
sc332_spa_2	はいはい、贅沢と享楽に堕落した異端児、\ガネーシャで～す。\みんなとってもキツい生活してるよね～\世の中には、あんたみたいな悪魔も\いるっていうのにね～
sc332_spa_3	ひと晩中、祓魔師と追いかけっこした\おかげで、足が棒だよ～…というわけで、\ここでしっかり英気を養うから、\見なかったことにしてくんな～い？\ナ～ハハハハ～ッ！
sc332_spa_4	あたしの助けが必要なの～？\あんたも相当いい加減だよね～\あたしが祓魔師だって忘れてない？\あんたを浄化しちゃうかもしれないのにさ～\ナ～ハハハハ～ッ！冗談、冗談！
sc332_spa_5	う～ん。困った困った。\どうも、あんたと仲良くしてるところを、\撮られちゃったみたいなんだよね～\責任取ってもらえる？\ホントは会う前から撮られていたけどね～！
sc332_spa_max	祓魔師になってみたけど虚しくてね～\だから、楽しいことだけして、\生きることにしたんだけど、そしたら今度は\祓魔師から追われることになっちゃって！\も～大変！な～んてね！
sc333_spa_1	ふ～っ、いい湯だわ～\な～に？その顔？\私が嘘をついてるとでも？
sc333_spa_2	なんで指図ばかりするの？\何様のつもり？
sc333_spa_3	はぁ～\うろうろしてどうしたの～？\えっ？誰か待ってるの？\だったら早く出たら？
sc333_spa_4	誰が魔王になっても同じよ。\でも、がんばってみたら？\運がよかったらなれるかもね。
sc333_spa_5	いい加減、悔い改めたらどう？\そしたら友達になってあげる！
sc333_spa_max	私に会えるなんて幸運ね。\私と手を組んだからには…\あなたの未来は決まったようなものよ。\あっははっ！
sc334_spa_1	たまには、ゆっくりくつろぐのも\悪くありませんね。
sc334_spa_2	急がば回れとよく言いますが\私は急いだほうがいいと思います。
sc334_spa_3	真実を知らずに幸せな夢を見ることと\真実を知って苦しむこと。\どちらがマシでしょうか？
sc334_spa_4	これだけサポートしても…\まだ私のことが信じられないのですか？
sc334_spa_5	今はためらっている場合ではありません。\時間のムダです。
sc334_spa_max	どうか御意のままに。\どんな選択をされようと\私は御主人様を信じます。
sc335_spa_1	運動の後の風呂は最高だな。
sc335_spa_2	私は美味いものしか口にしない。\不味いものを食べるということは、\自身の口と体に対して罪を犯すということ\だからな。
sc335_spa_3	必死にトレーニングをし、\美味いものを食べ、温泉で疲れをとる。\これこそ極楽だ。
sc335_spa_4	死ぬ気で体を鍛える理由？\他にすることがないし、\私は半神の中でも特に寿命が短い方だからな。
sc335_spa_5	今22歳だから、あと3年くらいか。\寿命は転生する度に少しずつ変わる。\でもどうしてそんなことを聞くんだ？
sc335_spa_max	早く死ぬことには慣れているから平気だ。\心配してくれるのか？\こっちに来い、一杯やろう。
sc336_spa_1	困った…\このまま寝ちゃいそう…
sc336_spa_2	犠牲のない平和…\やっぱりそんなの願うだけ無駄なのかしら…
sc336_spa_3	やっぱり人間が魔王争奪戦の犠牲に\ならなくちゃいけないんでしょう？\ただの悪魔同士の戦いなのに…
sc336_spa_4	この戦いが終わらせることが、\平和を招く唯一の手段でしょう？\それなら、私が…
sc336_spa_5	やっとわかった…\あなたも私と同じ気持ちだということが。\もう苦しむ必要はないわ…
sc336_spa_max	あなたが治める魔界を見てみたい…\きっと平穏で静かな世界なんでしょうね。
sc337_spa_1	ニャニャ～ン！\いっぱい走った後の温泉は最高だニャ～
sc337_spa_2	走ってる時も温泉に入ってる時も汗が出るニャ。\フレイニャはどっちも気持ちよくて好きだニャ～
sc337_spa_3	大事なのは1等賞をとることじゃないニャ。\楽しく走れれば、それでオッケーだニャ。
sc337_spa_4	今度1等賞をとったら、\フレイニャの頭をなでなでしてほしいニャン。
sc337_spa_5	フレイニャ、頑張るニャ！\褒められる猫になりたいニャン！
sc337_spa_max	グルルルル～\これは猫がうれしい時に出す声だニャ。
sc338_spa_1	わたしに、気を遣ってくれているの？\うん…おかげで…今日も一日、何事もなく過ごす\ことができたよ…
sc338_spa_2	…ご主人さま…あの時…\わたしが勇気を出せたのは、ご主人さまが\わたしのそばにいてくれたから…\本当にありがとう。
sc338_spa_3	ご主人さまと初めて出会ってから…\本当にいろんなことがあった…\わたしも変わったし、ご主人さまも少し変わった\と思う…え？服が変わった？\もう…そんなことじゃないのに…
sc338_spa_4	イピスは、本当に変な悪魔だと思う…\バカみたいに素直で、傷つくのを知りながら\手を差し伸べる…\でも…\そんな優しいところがご主人さまに似てる…
sc338_spa_5	わたしは…ご主人さまや、みんなのおかげで\ここまで来られたって気づいたの…\全ての出会いは、偶然のように見えて必然で…\だから、明日が来るのを嬉しい気持ちで\待つことができる。
sc338_spa_max	本当に変な悪魔…\毎日、わたしみたいな子供に話しかけるなんて…\気を使う必要なんてないのに…\でも…そんなところも悪魔っぽくて\何だかクセになっちゃいそう…うふふっ。
sc339_spa_1	モナ姉さま…\毎日、バカな悪魔の世話をしなきゃいけないから\疲れているでしょう？\ここに来て、ダビとゆっくりしよう…
sc339_spa_2	ダビが弱いから、見捨てたんでしょう？\でも大丈夫だよ。\もう大人だから…
sc339_spa_3	はぁ…生き返った…\えっ？\ダビ、なんか変なこと言った？
sc339_spa_4	モナ姉さまに会えるなら…\魔界に行ってもいい。
sc339_spa_5	ダビの願い？\それは…モナ姉さまに会うことだよ。\だから、もう叶ったの。
sc339_spa_max	モナ姉さまみたいになれば愛されるかなって\思ったけど…\そうじゃなかった。\元々ダビは愛されてたの…
sc342_spa_1	はぁ…退屈ねぇ…おチビちゃん、\もっと楽しいことして遊ばな～い？
sc342_spa_2	おチビちゃん、ちょっと静かにしてくれる～？\わたしが話しかけるまで口を開くなって言った\こと忘れたわけじゃないわよね～？
sc342_spa_3	正直、人間界には期待していなかったの。\でもいざ来てみたら、魔界とはまた違う\楽しさがあったわ。うふふっ…
sc342_spa_4	何も知らないのね～\悪魔に親切にすればするほど、\不吉なことが起こるのよ～？
sc342_spa_5	あなたも苦労するわね～\わたしがもっと楽に生きる方法を\教えてあげるわよ～
sc342_spa_max	わたしの言う通りにすれば、幸せになれるのに…\目を閉じて、わたしの言葉に耳を傾けてみない？
sc343_spa_1	おチビさんは、私にここが似合うと思う？\うふっ。
sc343_spa_2	私についてもっと知りたいですって？\そのためには、私の欲望を知る必要があるわ。\でも、おチビさんに分かるかしら？
sc343_spa_3	自分の内なる声を無視したらダメよ。\本能に逆らうことができる者なんて\いないんだから。
sc343_spa_4	私を信じられないって顔をしているわね。\残念だわ。\私はおチビさんの欲望に興味があるのに。
sc343_spa_5	勘違いしないでちょうだい。\アナタが私を選んだんじゃなくて、\私がアナタを選んだの。
sc343_spa_max	私がアナタを魔王の座に座らせてあげるわ。\あははっ！\断っても無駄よ。\私がそう決めたんだから。
sc344_spa_1	チャ、チャイルドには、\それぞれ休む方法があるだけですっ！\遊んでいるわけではないですっ！
sc344_spa_2	努力というものは目に見えないし、\掴むこともできない、形のないものです。\そんなものを大切にしているだなんて…\やっぱりおかしいですか？えへへ。
sc344_spa_3	やっぱり温泉は英気が養われますね。\焦って慌てたり、いらいらしたりすることも\ないですからね…\ただ、こんなにのんびりしていても\良いのでしょうか？
sc344_spa_4	アネモネやトリスタンと\出会う前のことですか？\う～ん、あまりよく思い出せないですね…\とても辛い記憶だったから\消してしまったのかも…
sc344_spa_5	あ！頭の上に居る子の名前は\《子犬》です。\…今、笑いましたね？\アネモネが私をバカにしてくる時と\全く同じ顔をしていましたよ！
sc344_spa_max	あたしのことを忘れないでください。\努力をしたからといって、絶対に\上手くいくわけない事はわかっています。\だけど、努力が報われる世界は\素敵じゃないですか。そうですよね？
sc345_spa_1	ん～っ。\誰がずーっと入ってられるか、賭けてみん？
sc345_spa_2	なんやこれ！？\ジブンこれ見てみ？\うちのスケジュール帳に落書きしたのは\ジブンか？\…トリスタンの仕業やて？はぁ…
sc345_spa_3	あ～もうアカン、アカ～ン！\魔王争奪戦はいつになったら終わるんや？\そこ歩いとる悪魔もジブンより\めっちゃ強そうやないか…\ホンマ心配やわ…
sc345_spa_4	ジブン、またモナ様にこっぴどく\叱られたんやって？\やれやれ、ホンマ可哀そうにな。\こっち来てみ、うちが慰めたるから。\も～遠慮せんとええから。
sc345_spa_5	男なんだからもっとシャキッとせんと。\他にも強い悪魔がようけおるのに、ジブンに\従ってくれとるチャイルドたちの事も\考えてやらんとアカンよ。\うちの話、間違っとるか？
sc345_spa_max	あ～もう！イゾルデは相変わらず、\キャンキャンやかましいし、トリスタンは\ゴリラやし…何笑とんねん？\ジブンかて悩みの種の1つやで。
sc346_spa_1	少しだけ寝るから…\起こしてよ…\く～…ふぅう～…
sc346_spa_2	ホント面倒くさいんだよな～\最近、お前との関係を\聞かれることが多くて困ってるんだよ。\何て答えればいい？臨時保護者とか…？
sc346_spa_3	アネモネは、まだ何かしたい\みたいだけど、それには、あの手癖を\どうにかしないと無理だね。\あ～あ、お前と仲良くなるのが\ベストなんだけどな～
sc346_spa_4	うう…俺もうクビかも…\俺に一縷の望みをかけてるなら、\やめといた方がいいよ…\まぁ、そんな気はなさそうだけど。
sc346_spa_max	夜の世界のバラエティー復活は、\ちょっと難しそうだから、お前のところで\おとなしく過ごすつもりなんだけど、どう？\チームメイトとして、お前の意見を\聞きたいんだけど。
sc347_spa_1	我は眠らぬ番人だ。\そんな私にお前は休めと言うのか？
sc347_spa_2	チャイルドは、お前の所有物ではない。\ただお前の生涯とともに歩む、\もう1つの生にすぎない…\あまり執着するな、悪魔よ。
sc347_spa_3	世界は、我の足元にある。\お前の運命は世界の一部。\我は世界を見守る者。\故にお前は力を尽くして悟るがよい。\お前の道を導こう。
sc347_spa_4	お前の労苦が我の歓喜となる。\我はお前を尊く思うだろう。
sc347_spa_5	祈り敬え。\お前の心を宝座の前に捧げよ。\我がお前を最期の日まで覚えておく。
sc347_spa_max	お前は我の物。我はお前の物。\我がお前を大切にするゆえ、お前は求めよ。\さすれば、全て与えよう。
sc348_spa_1	フフフ、私に会えたから、\今日はスペシャルな1日になるね！
sc348_spa_2	う～ん！\気持ちいい～最近は全身が痛くて辛かったの。\レッスンのしすぎかな…
sc348_spa_3	マエストロのこと？\マエストロには、恋人がいるのよ。\フフフ～それをこっそり見ているのが、\最近の私の楽しみかな？
sc348_spa_4	私に優しくしても良いことなんてないわよ？\だって私はアイドル。\みんなの恋人なんだから！\スウィートデビプリンセスは、\恋愛なんてしませ～ん！
sc348_spa_5	みんなのアイドルになるのは、\ホントに大変なのよ。\でもアリアには負けたくないから、\もう少し気持ちを引き締めないとね。
sc348_spa_max	ねぇ、アリアがいるのに、\私に優しくなんかしていいの？\アリアがやきもちを焼くわよ？まぁ、いいけど。あなたって私のファンなの？\私は私のファンならば誰でも大好きよ♥
sc349_spa_1	スキンケアは大事ですね。\フフフ…楽しいです。
sc349_spa_2	友達がおらず、温厚な所があなたと\似ていますので、マエストロ様のことを、\どうかよろしくお願いします。
sc349_spa_3	ひょっとしたら、私たちは良い友人に\なれるかもしれませんね。\だってお互いにとても良い趣味を\もっているじゃないですか。\…ふふ。
sc349_spa_4	魔王争奪戦とは、\命を賭けて戦わねばならないことだと\聞きましたが、悪魔さんのチャイルドたちは\日々何をしているのですか？
sc349_spa_5	はぁ…人間だった頃と比べたら、\今はとても幸せですね。\どれほど長くベッドに横たわっていたことか…\マエストロ様とあなたのおかげで、\私は新しい世界を見ることができて嬉しいです。
sc349_spa_max	生きていることを実感できるのは、\きっとあなたとアリアさんに\出会えたからでしょう。\そして、ファンの方たちの声援…\それはまるで心臓の鼓動のようです。
sc350_spa_1	水は少し怖いけど…\私はもう大人なんだから…！
sc350_spa_2	悪魔様の夢はなんですか？\いつも私とアリアさんを\励ましてもらっているので、\悪魔様の夢を応援してあげたいって\思っているんです。
sc350_spa_3	これはナイショのお話なんですが、\私のご主人様にとても似ている人を\テレビで見かけたんです。\でも、あっという間だったから番組名も\メモすることができませんでした…
sc350_spa_4	私は努力をすること以外のことを知りません。\おそらく遠い昔、かつての私のご主人様に\影響されているのかもしれませんね。\ふふ…でも、これから少しずつ、色んなことを\学んでいくつもりですよ。
sc350_spa_5	人間のように生きて、人間のように話す…\人間を真似るのは簡単ではないですね。\でも、私には会いたい人がいるから頑張れます！
sc350_spa_max	ファンの歓声をじっと聞いていると、\夢を叶えたのか、夢を見ているのか\わからなくなる時があります。\だけど…これは夢じゃありません。\本当の希望なんです。
sc351_spa_1	ハハハ！\これはなかなか楽しい余興ではないか！
sc351_spa_2	おお！\人間界にも魔界のようなところが\あったのじゃな！\本当に驚くことばかりなのじゃ！
sc351_spa_3	この辺りでマエストロを\見かけなかったか？\あの木偶の坊め、\また逃げ出しおったのじゃ…
sc351_spa_4	アイドルとして生きるのも悪くない…\そう思うようになったのじゃ。\おかしな話じゃろ？\我は悪魔だというのに、こんなにも\アイドル活動に夢中になるとはの！
sc351_spa_5	こんな風にのんきに話をしておるが、\時が違えば、我らは敵同士として\出会っていたのかもしれぬな。\そう考えてみると、\運命とは実におかしなものじゃ。
sc351_spa_max	こんなにも良い場所を見つけてしまうと、\帰りたくなくなるものじゃな。ふむ。\…そういうわけで、今後とも我のことを\よろしく頼むぞ！
sc353_spa_1	き、騎士にも休息は必要です。
sc353_spa_2	我にはやらねばならぬことが\山ほどあるというのに、\こんなところで休んでいて\良いのだろうか…
sc353_spa_3	我の欲しいものですって？\そんなものはありません！\我が君をお守りすることこそが我の使命！\…しかし、たまには温泉で\ゆっくりできたらとも思います。
sc353_spa_4	周りは我が君の軟弱さや幼さの残る性格を\心配しているようですが、我はそんな\我が君のことを尊敬しております。\なぜならばそれは、とてもお優しいと\いうことですから。
sc353_spa_5	我が君、我についてきてください。\我が君が王の座に就くまでお供をいたします。\それが我の使命であり存在意義なのです。
sc353_spa_max	全ては強い意志に基づいた《運命》です。\いつまでも我が君の傍を離れず、\我が君だけの騎士としてお守りいたします。
sc354_spa_1	あ～幸せ～♥\ダーリンと一緒だからかな？\うふふっ♥
sc354_spa_2	はぁ～ダーリンにほめられたくて、\一生懸命働いたのに…\まぁ、こういうことに気づいてくれる\ダーリンじゃないけど…
sc354_spa_3	ダーリンのこと心配だな～\だって、私がいないと何もできないでしょ？\も～そんなことないとか言って♥\可愛いんだから♥
sc354_spa_4	あのね、私がダーリンを好きなことは\当然なの。\だって、ダーリンはと～っても可愛くて\たまらないから！
sc354_spa_5	よそ見しちゃダ～メ♥\ダーリンがよそ見すると、\いじめたくなっちゃう♥
sc354_spa_max	何をためらうの？\私は最初から、ダーリンのものなんだから！\も～どこに逃げるつもり？
sc355_spa_1	仕事の後のお風呂は格別ですね。
sc355_spa_2	メイは本当に強くなりました。\もう、心配する必要もなさそうですし、\ご主人様も安心したでしょう？\ご主人様のおかげです。ふふふ…
sc355_spa_3	新しい力…少し妙な気分です。\できなかったことをできるようになったり、\願ったことをできるようになった理由は、\私が他の誰でもない、ご主人様の\チャイルドだからだと思っています。
sc355_spa_4	メイは、私に「母」の姿を\見ているようですが、\あながち間違ってはいないかもしれません。\私は、メイの願った\未来の姿をしているのですから。
sc355_spa_5	ご主人様は、私に大きく変わったと言いますが、それはご主人様も同じです。\少しずつですが、ご主人様は\最初に出会った時よりも強くなっています。\そんなご主人様を私は応援しています。
sc355_spa_max	切な願いが、新しい力となりました。\あなたのため、そしてメイのために、\信じる心が今の私を作ったのでしょう。\これからも、私を信じてください。\私はご主人様のためなら何度でも変われます。
sc360_spa_1	これがまさに、マアトの福音！です～！
sc360_spa_2	天国に行く必要なんてある？\この場所こそが天国だというのに…\あら、聞こえてしまいました？\う～ん。ならば仕方がありませんね。
sc360_spa_3	ジャンヌが、どんなに一緒に\神に祈りを捧げようとせがんで来ても…\このマアトは既に悟りを開き、\高みに到達してしまいましたからね。
sc360_spa_4	魔王争奪戦のことが、\そんなに気になりますか？\このマアトと一緒にいるだけで\祝福に満たされた幸せな未来が\待っているというのに～
sc360_spa_5	悪魔のことが好きだから、\一緒にいるわけじゃありませんよ？\主人なんですから仕方がないじゃないですか。\まぁ、とはいえ…その…\のんびりとした性格は気に入っています。
sc360_spa_max	善とか悪とかそんなのは、\どうでもいいんです。\真理はそのずっと先にありますからね。\だから、残りの人生もっと楽に\適当に生きていきましょうよ～
sc361_spa_1	うるさいヤツらめ…\温泉に沈めてやるぞ。
sc361_spa_2	バートリー…\わんわん泣いてばかりで、うるさいヤツめ…
sc361_spa_3	キサマもバートリーが心配なのか？\そもそもなぁ、アイツのせいだろ？\アイツが弱いから負けるんだ。
sc361_spa_4	猫かぶってやさしいフリするな。\またそんな素振りを見せたら…\どうなるか分かってるだろうな？
sc361_spa_5	おい、おもしろい話をしてやろう。\は？聞きたくないだと？\絶対ウケるぞ…
sc361_spa_max	もっとオレを大事にしろよ。\あとで魔王でも、なんでもさせてやるよ。
sc362_spa_1	はぁ～っ！\す、す、す…すみません！\あれ？貸し切りじゃなかったっけ～？\今、出ますね～！
sc362_spa_2	実は人間界に来てから、\ずっとパニック状態だったので\こんなにゆっくり休んだのは、\本当に久しぶりです。\暖かくて気持ちいいですね～
sc362_spa_3	え～と、今日のイブ様のコンディションは…\あ、こんにちは！休みに来られたんですか？\僕は仕事を終えて体をほぐしに来たんです。\…いつも苦労されてますね。\肩もかなりこってるし…
sc362_spa_4	僕…いつもすぐ落ち込むし…\ネガティブすぎるってよく言われるんです。\直そうとしても、なかなか直らなくて…
sc362_spa_5	こんなにたくさんのチャイルドがいるのに\僕だけじゃなく、みんなに気を配ってくれる。\補欠悪魔様って本当に強い方だって思ってます。
sc362_spa_max	未来のことなんて、考えたことなかったけど…\最近は少しずつ考えるようになったんです。\魔王争奪戦が終わった後のこと…\10年、20年後のこと…\そしたら、明日が来るのが楽しみになりました。
sc363_spa_1	ホントにいいところね～\ローガン様も呼びた～い！
sc363_spa_2	はぁ～気持ちいい…\ずっとこのまま…\あっそうだ！\温泉を盗めばいいのよ！
sc363_spa_3	うるさいわね～\盗むのがいけないことくらい分かってるわよっ！\悪魔だって人間の魂盗んでるじゃない！？
sc363_spa_4	誰だって自分だけの宝物があるでしょ～？\悪魔の宝物ってな～に～？\気になるわね～\ふふっ…
sc363_spa_5	悪魔も自分の欲望に正直になったら～？\ほしい物くらいあるでしょ～？
sc363_spa_max	ほしい物は絶対に手に入れるわ。\悪魔のほしい物ってな～に？\私が盗んできてあげる。
sc364_spa_1	ううん～溶ける、溶けちゃう…\あれ？持ってきたキャンディも\溶けちゃいました～へへ…♥
sc364_spa_2	悪魔様は、どのキャンディがお好きですか？\私はさわやかなミント味のキャンディが\一番好きです。
sc364_spa_3	私の契約者の願いを必ず叶えてください。\それは私の願いでもありますから…
sc364_spa_4	世の中に永遠なものなどないそうです。\それでも愛は永遠なんです。\そう思いませんか？
sc364_spa_5	悪魔様のために特別なキャンディを\作ってきました。\期待してくださって良いんですよ？\うふふ…♥
