// key	CHAT_SPA_
sc001_spa_1	Pfiou... Il faut prendre soin de soi ♥
sc372_spa_1	Je préfère la mer aux sources chaudes.
sc372_spa_2	Hé hé ! Ma peau est toute douce, maintenant ! Et la brise est douce comme de la soie aussi. C'est pas si mal.
sc372_spa_3	J'ai perdu un de mes jouets, un canard en plastique. Je l'ai apporté ici en douce quand Mona regardait pas. Quoi, vraiment ? Tu vas m'aider à le chercher ?
sc372_spa_4	De l'eau, c'est de l'eau, pas vrai ? Alors pourquoi il y a différents maillots de bain selon si on va à la mer ou à la piscine ? Les règles des humains sont vraiment bizarres, des fois.
sc372_spa_5	Mona est vraiment exceptionnelle. Comment elle arrive à s'empêcher de jouer dans l'eau ? C'est sûrement grâce à son entraînement acharné pour devenir la meilleure des succubes. *splash*
sc372_spa_max	Hé hé ! J'ai élaboré un plan de génie ! Il paraît que le plus grand trésor du monde est caché au beau milieu de l'océan et que celui qui le trouve deviendra le nouveau roi des pirates ! Mona dit que c'est dangereux, alors j'ai pensé que tu pourrais m'aider !
sc373_spa_1	Aaah, ça fait du bien... Oups, j'ai failli m'endormir.
sc373_spa_2	Hé, mec, pourquoi tu te caches dans un coin ? Amène-toi !
sc373_spa_3	J'aurai aucun mal à m'habituer à ces "sources chaudes".
sc373_spa_4	On va voir lequel de nous deux pourra rester dans l'eau le plus longtemps !
sc373_spa_5	Hé, tu bois quoi, généralement, quand tu sors ? Moi ? Je dirais un café au lait.
sc373_spa_max	Bon, ça te dit de prendre un café au lait en sortant ? J'accepterai aucune excuse !
sc374_spa_1	Ah, je suis comblée de joie ! ♥ Et je le serais encore plus si vous étiez ici, avec moi, hi hi ! ♥
sc374_spa_2	Je crois que je me plais bien, ici. Je devrais en parler à Morgen et Pomone. Oh, mais Morgen ne viendrait jamais seule.
sc374_spa_3	Par ici, mon petit client ! ♥ Et si on se réchauffait, toi et moi ? ♥ Hé ! Ne me dis pas que tu vas encore t'enfuir ! Plus timide que toi, ça n'existe pas.
sc374_spa_4	Avec toi, je me sens toujours bien, petit client ♥ Si seulement c'était réciproque...
sc374_spa_5	Je veillerai sur toi, petit client, ne t'inquiète pas ♥ Mais d'abord, il va falloir que je nous organise une cérémonie de mariage ! Hi hi ! ♥
sc374_spa_max	Je suis vraiment heureuse de t'avoir rencontré, tu sais ? Merci d'être devenu mon maître ♥
sc377_spa_1	Tu essaies de chasser la déprime post-mariage ? Je comprends. Je me disais moi-même que j'avais besoin de me changer les idées.
sc377_spa_2	Je n'avais jamais vu autant de démons et de Childs en un seul endroit. Je pensais me trouver une épouse et rentrer directement au Royaume infernal après le concours, mais ça risque d'être compliqué avec Pomone dans les parages...
sc377_spa_3	Je vais essayer de voir le passé comme une flopée de bons souvenirs... De quoi je parle ? De mon intention d'épouser Pomone, évidemment. Pas la peine de te moquer. Je ne comptais pas lui en faire baver.
sc377_spa_4	Ça va ? Tu n'as vraiment pas l'air dans ton assiette. Si tu ne te sens pas bien, je peux appeler le propriétaire. Tu es sûr que tu peux marcher ?
sc377_spa_5	C'est la première fois que je me détends comme ça depuis que j'ai hérité de l'Anneau de mariée. J'étais constamment entourée de prétendantes, sur mon île.
sc377_spa_max	Bon, je suppose que mon plan a fonctionné, puisque j'ai l'impression de te connaître beaucoup mieux. Mais je ne suis pas du genre à me faire des amis... Hmm... Oh, tu pourrais te déclarer comme prétendante aussi ! Ha ha ha, je plaisante.
sc378_spa_1	Aaah... Parfois, un bon bain est le meilleur des remèdes.
sc378_spa_2	Hmm ? Cet endroit soigne les blessures aussi ? C'est bon à savoir.
sc378_spa_3	Ces sources chaudes soignent les blessures, pas vrai ? Ça veut dire que je peux affronter Athéna sans retenir mes coups ?
sc378_spa_4	Tu penses que je devrais me baigner avec Athéna ? Ne dis pas de bêtises.
sc378_spa_5	Est-ce que cette espèce de... Est-ce qu'Athéna vient ici aussi ?
sc378_spa_max	Bon, si tu insistes... J'accepte de venir ici avec elle.
sc379_spa_1	Se baigner dans le plus simple appareil... Quel manque de pudeur !
sc379_spa_2	O-Oh... C'est donc ça que signifie "se mettre à nu", dans une relation ?
sc379_spa_3	Je crois que je commence à apprécier ces "sources chaudes". Je sens la fatigue et les blessures me quitter...
sc379_spa_4	Pourquoi vous détournez-vous de moi, Maître ?
sc379_spa_5	J'aimerais montrer cet endroit à qui vous savez... Je suis sûre que ça lui plairait. Vous n'êtes pas d'accord, Maître ?
sc379_spa_max	Je propose de revenir ici tous ensemble, une prochaine fois.
sc381_spa_1	Qu'est-ce qui t'a pris de m'amener dans un endroit pareil ? Oh... Tu veux te baigner avec moi, c'est ça ?
sc381_spa_2	Tu crois que mon bonbon d'amour spécial est injuste aussi ? J'y mets tout mon cœur à chaque fois, tu sais !
sc381_spa_3	On a beau y consacrer tout son temps et toute son énergie, l'amour, c'est compliqué. Peut-être que ça devient plus simple avec le temps. Et puis c'est quoi, le véritable amour ?
sc381_spa_4	Ne me traite pas comme une enfant. Je n'ai pas l'habitude, c'est tout. Mes sentiments pour toi sont sincères.
sc381_spa_5	On dit que l'amour rend idiot, et je commence à comprendre pourquoi. Au fait, tu es particulièrement séduisant, aujourd'hui. Hi hi... Je te taquine.
sc381_spa_max	Tu ne sais même pas ce qu'est l'amour ? Je suppose que tu n'es encore qu'un enfant aussi. Ne t'en fais pas, on n'a qu'à le découvrir ensemble.
sc382_spa_1	Quoi ? Si tu veux te plaindre, fais-le plus tard. Je suis sûre que tu n'as rien d'intéressant à dire.
sc382_spa_2	C'est censé être des sources chaudes du Royaume infernal ? L'eau est à peine tiède. Le Royaume infernal n'est pas censé être une vraie fournaise ? Enfin, moi, je n'y suis jamais allée.
sc382_spa_3	Pff... Je n'aurais jamais accepté de conclure un pacte si j'avais su que je me retrouverais à m'occuper d'un démon... Est-ce qu'il se rend compte qu'il serait mort, sans moi ?
sc382_spa_4	Tu parles aussi mal que Freyr. Impressionnant. J'aimerais bien être aussi sans-gêne que toi.
sc382_spa_5	Tu aurais préféré un Child plus impressionnant, c'est ça ? Un Child grand de 5 mètres, avec des griffes et des crocs ? Ça m'irait bien...
sc382_spa_max	Je n'ai jamais été véritablement heureuse. Je suppose que c'est le cas de ma passeuse de pacte aussi. J'ai passé de bons moments, mais... il y avait toujours une ombre au tableau. Enfin, tu ne peux pas comprendre...
sc383_spa_1	On a vraiment que ça à faire ? Purée, plus relax que toi, y a pas.
sc383_spa_2	J'ai toujours l'impression de me faire rouler, au Royaume des mortels. À chaque fois que ça commence à aller mieux, un truc vient tout perturber...
sc383_spa_3	Cette Nemain... Je l'ai surprise en train de fabriquer des poupées bizarres. J'ai voulu les jeter, mais c'est pas facile quand c'est des poupées de soi-même...
sc383_spa_4	Comment je me suis retrouvé coincé avec un minable comme ça ? Comment je suis censé maintenir ma réputation de "Freyr le mauvais garçon" dans ces conditions ? Hé ! Me regarde pas comme ça ! J'ai pas besoin de ta pitié !
sc383_spa_5	Je pige pas. Pourquoi Ève et Lisa adorent toutes les deux ce type ? Qu'est-ce qu'il a de plus que moi ?
sc383_spa_max	J'ai l'impression que je cours tout droit à une mort prématurée... Je me demande ce que Lisa voulait dire par "il est temps de vous y mettre sérieusement". Hé, petit joueur... Fais attention. T'as pas intérêt à mourir avant que j'aie eu l'occasion de te tuer !
sc385_spa_1	Aah, ça fait du bien...\Mais j'aurais aimé que madame Helena soit là...
sc385_spa_2	Hi hi. C'est agréable...\Ça ne sert à rien d'avoir des sources chaudes si on ne s'en sert pas, pas vrai ?
sc385_spa_3	Mon vœu ? Je veux prouver à madame Helena que je suis une adulte !
sc385_spa_4	Oh, Monsieur le proprio ! Vous avez intérêt à être content de prendre un bain dans les sources chaudes avec moi.
sc385_spa_5	Qu'est-ce que je dois faire pour transformer ces cantaloups en pastèques ? Ah ! Vous ne m'avez pas entendue, si ? Vous n'êtes qu'un pervers, Monsieur le proprio !
sc385_spa_max	Je vous aiderai à réaliser votre rêve, Monsieur le proprio !\C'est le rôle d'une servante, après tout.
sc386_spa_1	On dit que les sources chaudes purifient l'âme.\C'est vrai que c'est apaisant...
sc386_spa_2	C'est vraiment calme, ici.\Vous n'êtes pas d'accord ?
sc386_spa_3	M-Mon travail ? C'est un secret.
sc386_spa_4	Vous ne croyez pas à la voyance ?\Quoi ? C'est puéril ? Mais non !\Ça peut être très utile.
sc386_spa_5	Je veux faire quelque chose pour vous remercier, Monsieur le propriétaire. Je sais ! Je vais vous choisir un maillot de bain.
sc386_spa_max	Je vois que vous portez le maillot de bain que j'ai choisi. Merci. J'espère que je pourrai continuer à vous aider en tant que partenaire.
sc387_spa_1	*bâille* Rien ne vaut les sources chaudes. Je sens tout le stress s'évaporer.
sc387_spa_2	Je suis vraiment contente de vous avoir tous rencontrés. V-Vous y compris, évidemment.
sc387_spa_3	Pourquoi j'aime prendre des bains ? Parce que ça fait du bien, évidemment ! Et puis ça me détend les épaules...
sc387_spa_4	Vous pouvez me parler de tout. Si je suis en mesure de vous aider, je le ferai ! Quoi ? C'est ce qui vous inquiète ? Pff...
sc387_spa_5	Regardez ça, Monsieur le proprio.\Je vais essayer de vous imiter !\... En fait, c'est peut-être un peu gênant.
sc387_spa_max	Ma grand-mère et moi, on prend toujours des bains ensemble. Elle dit que dans une famille, il ne faut rien se cacher.
sc390_spa_1	J'ai bien fait de suivre maman !
sc390_spa_2	Il y a longtemps, ma mère et moi, on... Bah, ce n'est pas le moment. Mettons mon fantastique spectacle de magie en route !
sc390_spa_3	Hein ? Tu veux que je t'explique mes tours de magie ? *soupir* Un vrai gentleman ne demanderait pas ça à une dame.
sc390_spa_4	Les plus grands magiciens rebondissent toujours après une défaite et sautent encore plus haut ! Ça te réconforte ?
sc390_spa_5	Le plus amusant dans la magie, c'est l'élément de surprise ! Hi hi... Je vais t'en boucher un coin. Prépare-toi à assister au plus grand spectacle de tous les temps !
sc390_spa_max	Les spectateurs comme toi, ça ne court pas les rues. Hi hi hi... Tu es hilarant ! J'ai encore tout plein de surprises en réserve pour toi !
sc391_spa_1	Je ne fais que souffler un peu. La nuit va être longue, car les festivités sont loin d'être terminées !
sc391_spa_2	Hi hi hi... Les rêves les plus courts sont les meilleurs. Les rêves trop longs finissent toujours par tourner à la tragédie, tu ne trouves pas ?
sc391_spa_3	Ha ha ! Quelle heureuse coïncidence ! Ailill et Typhon sont d'accord. Surtout Typhon. C'est bien la première fois qu'il s'attache à quelqu'un.
sc391_spa_4	Tu es bien direct pour quelqu'un qui se prétend timide. Tu ne t'en rends peut-être pas compte, mais c'est dangereux, d'une certaine façon. De quoi je parle ? Réfléchis bien...
sc391_spa_5	Les rêves sont agréables parce qu'ils prennent fin au réveil. Vivre dans une illusion infinie, c'est comme être mort. N'oublie jamais où tu es et ce que tu fais.
sc391_spa_max	Alors ? J'ai fait forte impression ? Tu as de bons souvenirs de moi ? Si c'est le cas, je suis ravie ! On est Joyeux Samain ♪ Un rêve qu'on ne peut voir qu'à Halloween !
sc392_spa_1	Je veux pas aller dans un endroit comme ça avec toi. Elle est où, Mona ?
sc392_spa_2	Mona, elle est tout pour moi. Je t'interdis de t'interposer !
sc392_spa_3	Tout ce que je voulais, c'était aimer Mona... mais on dirait que j'ai réussi qu'à lui faire du mal.
sc392_spa_4	Je me suis rendu compte... qu'il valait mieux que je garde mes distances avec Mona. C'est la seule chose que je peux faire.
sc392_spa_5	Je comprends, maintenant. Mona m'aime plus que tout. Si seulement je m'en étais rendu compte avant...
sc392_spa_max	Protège Mona et moi à ma place. Son bonheur compte plus que le mien.
sc393_spa_1	C'est rare pour une assistante de servir un démon aussi magnanime. Hi hi ♥
sc393_spa_2	Un monde où tout le monde peut vivre en harmonie... Hi hi ! C'est presque trop beau pour être vrai.
sc393_spa_3	Je rêvais de faire de mon maître le Roi des démons, mais maintenant...
sc393_spa_4	Est-ce que vous allez finir par m'abandonner, un jour ? Hi hi ! J'adore vous faire réagir.
sc393_spa_5	Vous voulez bien me promettre de créer un Royaume infernal où tout le monde peut vivre heureux ?
sc393_spa_max	Vous êtes fier de m'avoir comme assistante ? Alors prouvez que vous êtes digne de moi.
sc394_spa_1	Puis-je te laver le dos, Maistre ? Hi hi, je plaisante. Oh, tu es rouge comme une tomate !
sc394_spa_2	Ça t'a surpris de voir mon apparence de courtisane ? N-Ne dis pas ça. Je sais que je dois étudier davantage. C'est justement pour ça que je suis en train de lire un livre.
sc394_spa_3	Le monde des courtisanes est fascinant. Un groupe de femmes en cohabitation... Oh ! Et si c'était ça, le paradis que je cherche ?
sc394_spa_4	La langue des courtisanes est vraiment captivante, tu ne trouves pas ? D'ailleurs, tu savais que l'expression "faire la cour" était utilisée à l'origine par les courtisanes ?
sc394_spa_5	L'appel d'une courtisane est d'oyr les resves, au mains le temps d'une nuict. A cette cause elles s'entraisnent et estudient toudis. De quoi resves-tu, Maistre ? De mets delitants ? Chaitivement, je ne sui encore qu'une malvaise coquiniere...
sc394_spa_max	Apparemment, le magnifique kimono porté par les courtisanes ressemble à la tenue de mariage traditionnelle. Tu voudras bien porter ce kimono pour moi un jour ? Quoi ? "Plutôt mourir" ? Pff... Quel manque de courtoisie, Maistre.
sc395_spa_1	Merci. Je me sens revigorée. Je n'avais pas réalisé combien j'étais épuisée.
sc395_spa_2	*soupir* Peut-être que je n'ai pas été assez déterminée. J'ai sous-estimé le concours du Roi des démons. Je pensais que ce serait vite terminé et que je pourrais rentrer chez moi...
sc395_spa_3	Hmm... J'ai beaucoup appris, depuis. J'ai réalisé que les gens me prendraient pour une délinquante juvénile si je me baladais en pleine journée dans cette tenue. Maintenant, je comprends à quel point c'était dur pour toi.
sc395_spa_4	Ne te fais pas de fausses idées. Je ne sais pas ce que tu penses, mais moi, je te considère toujours comme un ennemi. Et pourtant, tu as complètement baissé ta garde en ma présence. J'imagine que c'est naturel, pour toi...
sc395_spa_5	Tu ne me connais ni d'Ève ni d'Adam, et pourtant, tu fais preuve de gentillesse envers moi. C'est tout toi, ça... Tu comprends, maintenant, pourquoi je dis que tu ressembles tant aux humains ?
sc395_spa_max	Freyr et toi, vous me traitez comme une idiote, mais je suis la seule démone qui a vu avec tant de clarté le soleil se coucher sur le Royaume des mortels. Hmm ? Qu'est-ce qui te fait rire ?
sc396_spa_1	Allez, vite ! Je t'attendais, chaton !
sc396_spa_2	Tu es mort de peur à l'idée que je prenne encore la poudre d'escampette, pas vrai ? Ne t'inquiète pas. Je m'amuse beaucoup sous cette forme.
sc396_spa_3	Ce monde est si vaste qu'il est impossible de tout voir en une vie. Et pourtant, ça ne te dérange pas de rester au même endroit ?
sc396_spa_4	Allez, ne sois pas triste. Tu es important pour moi, petit chat. Ha ha ha ! Tu n'as pas l'air convaincu !
sc396_spa_5	Mon petit doigt me dit... que cette séparation n'est que le début d'une nouvelle série de rencontres. Tout ce que je sais, c'est qu'on se reverra, c'est sûr.
sc396_spa_max	Ne t'inquiète pas. Même si on ne peut pas se voir, on finira toujours par se retrouver, chaton. Tu n'as qu'à m'appeler et je viendrai.
sc397_spa_1	Distribuer des cadeaux, apporter de la joie aux gens et se prélasser dans un bon bain chaud. C'est la belle vie !
sc397_spa_2	Tu aimes mon déguisement de Père Noël ? Il est splendide, n'est-ce pas ? Une reine doit céder aux demandes de la plèbe de temps à autre ! Quoi ? C'est plutôt la plèbe qui cède à mes demandes ? Quelle insolence !
sc397_spa_3	Le poulet est un incontournable des repas de Noël ! Hmm ? Que va-t-on manger d'autre ? Une dinde rôtie. Oh, mais c'est presque pareil que le poulet...
sc397_spa_4	Noël est vraiment une fête sublime ! Nous devrions le célébrer tous les jours. Hmm ? Le Père Noël aurait du mal à suivre le rythme ? Oui, je suppose que tu as raison.
sc397_spa_5	Ce qui fait un bon cadeau ? Hmm... Peut-être un objet qui se vend bien ? À une époque, je vendais les cadeaux que l'on m'offrait. Pourquoi ce regard ? Aujourd'hui, je pense que je préférerais un délicieux repas.
sc397_spa_max	En général, c'est moi qui reçois des cadeaux. C'est pour cette raison que je n'avais jamais réalisé qu'offrir était un tel plaisir. Tu vas chérir mon présent, n'est-ce pas, serviteur ?
sc398_spa_1	C'est si chauuuud... Quel bonheur d'être en vie.
sc398_spa_2	Comment je suis censée chopper cette fleur d'Hadès ?\Hé, mais... ?\Tu m'espionnes ?
sc398_spa_3	Qu'est-ce que j'en ai à faire\du concours du Roi des démons ?!\Je commence à en avoir ma claque, des démons !
sc398_spa_4	Tu veux être mon ami ?\Tu es peut-être bien\différent des autres démons...\Mais tu peux toujours courir !
sc398_spa_5	Tous les démons sont des voleurs.\Enfin, c'est ce que je pensais.\Depuis que je t'ai rencontré, j'ai changé un peu d'avis.
sc398_spa_max	Pourquoi t'as peur d'affronter les autres démons ?\T'as rien à craindre tant que je suis là.
sc400_spa_1	C'est cool, comme endroit. Je voulais emmener maman et les autres aussi, mais... je peux pas, si ?
sc400_spa_2	J'ai toujours vécu avec ma famille. Enfin, jusqu'ici. Mais j'arrive pas à m'habituer à la vie sans eux...
sc400_spa_3	Vous saviez que les gens se transformaient en papillon à leur mort ? Peut-être qu'ils naissent des vœux de leurs êtres chers.
sc400_spa_4	Parfois, vous avez l'air de vous sentir seul, Maître. Pourtant, vous avez une famille si nombreuse ! Je sais pas ce qu'il vous faut.
sc400_spa_5	Dites, Maître. Vous voulez bien me faire un peu plus confiance ? Je veux me battre pour vous.
sc400_spa_max	Je vais vous protéger, Maître. Vous faites partie de ma famille, après tout. Vous me voyez comme une membre de votre famille aussi, pas vrai ?
sc402_spa_1	Je n'ai pas encore terminé mon enquête, et pourtant...
sc402_spa_2	C'est agréable de se détendre ainsi de temps en temps.
sc402_spa_3	Les sources chaudes me font toujours penser aux œufs pochés. Tiens, je devrais essayer d'en faire...
sc402_spa_4	Pourquoi vous me regardez comme ça ?
sc402_spa_5	Une grosse part du travail, c'est de savoir récupérer de la fatigue quotidienne !
sc402_spa_max	J'adore venir ici avec Makoto et Tsubaki, de temps en temps.
sc403_spa_1	Des sources chaudes ! Génial !
sc403_spa_2	C'est dingue ! La fourrure de ma queue flotte !
sc403_spa_3	Allez, on se détend !
sc403_spa_4	Tout ça, c'est très agréable, mais... les autres sources chaudes, elles sont comment ?
sc403_spa_5	Les sources chaudes, c'est surtout sympa après une bonne suée.
sc403_spa_max	Entrez ! Rejoignez-moi, ça va vous réchauffer !
sc404_spa_1	Ce n'est rien, comparé à l'humiliation que j'ai subie.
sc404_spa_2	Comment osez-vous entrer avant moi ?
sc404_spa_3	Ces bains sont plutôt agréables, n'est-ce pas ?
sc404_spa_4	Même moi, il m'arrive d'être épuisée, parfois.
sc404_spa_5	De simples sources chaudes ne devraient pas être si... revigorantes.
sc404_spa_max	Dommage qu'on ne puisse pas y aller ensemble, hein ?
sc405_spa_1	Bon, je dois admettre que t'accorder ma confiance et te suivre n'était pas une si grave erreur.
sc405_spa_2	Un roi se doit d'avoir certaines qualités,\qualités dont tu es totalement dépourvu.
sc405_spa_3	Quel genre de roi souhaites-tu devenir ?\Crois-tu vraiment pouvoir gouverner les démons ?
sc405_spa_4	Le seigneur Rufus doit régner sur le Royaume infernal.\Lui seul est capable de faire quelque chose\du néant.
sc405_spa_5	Si je t'aide, c'est uniquement parce que\le seigneur Rufus me l'a ordonné.\Quoi qu'il en soit, je ferai de mon mieux.
sc405_spa_max	Les ordres du seigneur Rufus sont absolus.\Je t'aiderai jusqu'à ce qu'il m'ordonne le contraire.
sc406_spa_1	Trrrrop bien...
sc406_spa_2	Ce que c'est agréable...
sc406_spa_3	Aaahhh !
sc406_spa_4	Cette eau est merveilleuse !
sc406_spa_5	On ne peut pas y nager ?
sc406_spa_max	Ah, c'est trop bien !
sc407_spa_1	*soupir* Ce que c'est agréable... Fennec devrait venir, elle aussi.
sc407_spa_2	On se sent drôlement bien...
sc407_spa_3	J'ai plongé les épaules et j'ai compté jusqu'à trente !
sc407_spa_4	Promis, je ne nagerai pas !
sc407_spa_5	*soupir* J'ai l'impression d'être au paradis.
sc407_spa_max	La prochaine fois, je dis à Fennec de venir aussi !
sc408_spa_1	Quel endroit extraordinaire !
sc408_spa_2	Aaah, ce que c'est bon...
sc408_spa_3	Ringtail, tu as compté jusqu'à trente ?
sc408_spa_4	Il est interdit de nager.
sc408_spa_5	Tu n'as pas la tête qui tourne, toi ?
sc408_spa_max	Il faudra qu'on revienne ici.
sc409_spa_1	Plouf, plouf ! Venez jouer dans l'eau avec moi !
sc409_spa_2	Vous trouvez pas que je ressemble à un donut à la guimauve ? Oh non ! Et si je fondais ?
sc409_spa_3	J'ai l'impression de m'être transformée en donut à force de tremper dans l'eau chaude. Vous saviez que certains donuts étaient bouillis dans l'eau ?
sc409_spa_4	Vous trouvez pas que les donuts sont meilleurs quand ils sont encore tout chauds ? C'est pour ça que les garder pour la fin, c'est un sacrilège !
sc409_spa_5	J'ai le sang qui me monte à la tête, je suis rouge comme une tomate. On pourrait me prendre pour un donut à la fraise ! Vous voulez me goûter, Maître ? Hi hi ♥
sc409_spa_max	Aaah... ♥ Ça fait un bien fou ♥ La prochaine fois, j'apporterai des donuts ! ♥ C'est quoi, ce regard ? C'est vous qui m'avez appris que c'était amusant de partager !
sc410_spa_1	Tu pensais vraiment que\ça me ferait plaisir de venir dans ce genre d'endroit ?\Apporte-moi de l'eau fraîche.
sc410_spa_2	Tiens, voilà mon petit maître !\Quoi ? Tu as quelque chose à y redire ?\C'est la vérité. Tu es petit.
sc410_spa_3	Et si le roi ne régnait pas sur le Royaume infernal ?\On pourrait se battre tout le temps.\Ça ne serait pas palpitant ?
sc410_spa_4	Tu as de la chance de m'avoir rencontrée.\C'est la première et la dernière fois\que j'accepte d'être la servante de quelqu'un.
sc410_spa_5	Je vais t'offrir une couronne.\Maintenant, à genoux. Accepte mon généreux cadeau.
sc410_spa_max	Si tu veux devenir Roi des démons, je ferai tout mon possible pour t'aider.\En échange, tu dois me trouver un endroit\où je pourrai me battre tant qu'il me plaira.
sc412_spa_1	Donnez-moi le courage de résister aux\pièges de Satan.
sc412_spa_2	Hé, Abel.\Cette journée semble prometteuse.\Nous avons pu nous retrouver ainsi car le Seigneur nous a guidés.
sc412_spa_3	Abel, tu fuis le travail aujourd'hui aussi ?\Ta décadence m'inquiète.\Bien que je sache qu'au fond, tu t'en sortiras toujours.\Tu es mon petit frère, après tout.
sc412_spa_4	Je ne t'avais pas vu ici depuis longtemps, Abel.\Qu'y a-t-il ?\Tu es devenu timide ?\Ha ha, je te taquine.
sc412_spa_5	Je fais toujours un rêve dans lequel je te sermonne.\Je suis perdu dans une rage insensée et j'hurle sur... toi...\Oh, qu'est-ce que je raconte ?\Je dois être fatigué.\Rentrons.
sc412_spa_max	Si nous retournons au Vatican, nous serons à nouveau ensemble.\J'ai une jolie disciple à présent, ce serait amusant.\J'espère que tu t'entendras avec elle.\Viroupa est une disciple merveilleuse,\mais elle a encore beaucoup à apprendre.
sc414_spa_1	Les batailles de pistolets à eau sont interdites dans les sources chaudes. Tout le monde le sait.
sc414_spa_2	Je ne tire pas sur un adversaire en fuite. C'est ma philosophie de combat.
sc414_spa_3	Annie continue à raconter ce bobard ? Pour la dernière fois, la huitième victoire n'était pas celle d'Annie, mais la mienne.
sc414_spa_4	Si quelqu'un cherche la bagarre, je ne vais pas refuser. C'est un grand principe chez les artilleurs. C'est pour ça que tu n'auras jamais ce qu'il faut pour être un hydrotireur.
sc414_spa_5	Je commençais à m'impatienter ! J'ai des milliards de trucs à te dire. Pour commencer, parlons du tout dernier modèle de pistolet à eau !
sc414_spa_max	Il faut que tu donnes une bonne leçon à ceux qui se moquent de toi. Tu es un démon super, tu sais.
sc415_spa_1	J'aime bien les ruisseaux de montagne, mais les sources chaudes, c'est pas mal non plus.
sc415_spa_2	Comment tu peux apprécier l'été alors que t'aimes pas t'mouiller ?
sc415_spa_3	Faut pas avoir peur du canon d'ton adversaire. Y a qu'ceux qui foncent sans s'retourner qui peuvent dev'nir hydrotireurs.
sc415_spa_4	Donne tout c'que t'as et fais face à ton adversaire. C'est ça, être un hydrotireur.
sc415_spa_5	Arrête de lambiner et jette-toi à l'eau. Hé hé hé...
sc415_spa_max	La force de ton adversaire, c'est pas l'plus important. C'est toi qui détiens la clé d'la victoire. Si t'as d'la chance, p't-être bien que j'serai ta clé.
sc416_spa_1	Ah, c'est vrai. C'est un secret, mais...\je vais te le dire quand même.\La dame, là-bas, elle te regarde\depuis tout à l'heure.
sc416_spa_2	Tiens ?\J'ai cru entendre quelqu'un.\Oh, ne t'en fais pas.\Je suis sûre que ce n'était que mon imagination.
sc416_spa_3	Quand on vient ici tout seul,\on voit une étrange lumière.\Ce ne sont pas des lucioles ou des étoiles.\C'est une lueur triste, mélancolique.
sc416_spa_4	Des phénomènes étranges, il y en a partout,\que ce soit dans le Royaume des mortels ou le Royaume infernal.\Il ne faut pas en avoir peur.\Ils sont même amusants à observer de loin.
sc416_spa_5	Je te trouvais pathétique,\mais en fait, tu es juste une poule mouillée.\C'est le comble, pour un démon !\Ha ha ha !
sc416_spa_max	En réalité, tu es jaloux des humains, pas vrai ?\Ha ha ha ! Ton expression en est la preuve.\Je ne me lasserai jamais de t'observer.
sc417_spa_1	Hé ! C'est malpoli de toucher la queue d'une dame sans sa permission.
sc417_spa_2	Tu as vraiment envie de toucher ma queue ? Bon, d'accord... Mais vas-y doucement.
sc417_spa_3	Je goûterais bien ta chair grillée. Un petit morceau me suffit, tant que tu le fais cuire toi-même.
sc417_spa_4	Trouver l'amour n'est pas chose aisée. Ah... Peut-être que quelqu'un là-bas voudra bien être mon partenaire.
sc417_spa_5	En ce moment, mes envies de viande sont satisfaites beaucoup plus facilement. C'est parce que... tu me suffis amplement.
sc417_spa_max	Tu as déjà dû le remarquer, mais la viande est un besoin pour moi. Et pourtant... si je devais choisir entre toi et la viande, c'est toi que je choisirais. C'est tout.
sc418_spa_1	Ah... Cet endroit est très... apaisant.
sc418_spa_2	Ces sources chaudes sont vraiment délicieuses, presque autant que les charmes de Tamamo. Merveilleux...
sc418_spa_3	J'ai combattu le mal et protégé tout le monde... tout ça pour cet instant précis.
sc418_spa_4	Aaah... Je sais que je ne devrais jamais baisser ma garde, mais chaque fois que je viens ici, je fonds.
sc418_spa_5	Parfois, je me dis que la chaleur des sources chaudes et celle du cœur se ressemblent. Vous n'êtes pas de cet avis, patron ?
sc418_spa_max	Cet endroit est vraiment divin. Si seulement tout le monde pouvait ressentir ce que je ressens actuellement... Peut-être que le monde serait plus paisible.
sc419_spa_1	Hmm... Vous voulez bien arrêter de me dévisager comme ça ? C'est assez gênant.
sc419_spa_2	… J'imagine que je te plais comme ça.
sc419_spa_3	Bienvenue.
sc419_spa_4	Ça va… C'est juste un peu gênant, en fait…
sc419_spa_5	Alors… Qu'est-ce que tu ressens pour moi… ?
sc419_spa_max	Tu veux que je le dise ? T'es vraiment coquin…
sc420_spa_1	Ah, ce que ça fait du bien !
sc420_spa_2	Tu as quelque chose à me dire ?
sc420_spa_3	Ne fais pas cette tête.
sc420_spa_4	… Je ne te fais vraiment plus d'effet ?
sc420_spa_5	Tu étais occupé, ces derniers temps ?\Quelque chose te tracasse, peut-être ?
sc420_spa_max	Je t'aime.
sc421_spa_1	Mmm-mmm ♪
sc421_spa_2	Ne vous en faites pas. Ce n'est rien.
sc421_spa_3	J'attendrai, alors revenez… s'il vous plaît.
sc421_spa_4	Je veillerai toujours sur vous, vous savez.
sc421_spa_5	J'ai essayé de vous\cacher mes sentiments.
sc421_spa_max	Je t'aime.
sc422_spa_1	Tu es drôle, mon petit démon.\Tu en fais, des efforts pour me plaire,\pour quelqu'un qui prétend ne pas me supporter.
sc422_spa_2	Comment la population a pu atteindre des chiffres si bas ?\*soupir* Ce monde est en perdition.
sc422_spa_3	D'abord, tu te laves de haut en bas.\Et après, tu connais la suite, non ?
