// key	CHAT_SPA_
sc001_spa_1	Whew...\Nothing like a little self-care ♥
sc362_spa_1	Ahhh!\I-I-I'm sorry!\Weird. I thought it was reserved.\I'll get out now!
sc362_spa_2	Actually, I'd been panicking\since I came to the Mortal Realm,\so it's been a long while\since I got to relax like this.\It's so nice and warm.
sc362_spa_3	Hmm, Mistress Eve's condition today...\Oh, hello! Are you here for some relaxation?\I came to unwind after work.\I'm always put through the wringer.\My shoulders get super tense.
sc362_spa_4	I, um, always get depressed quickly.\I often get told that I'm too negative.\I've tried fixing it but I haven't had much success.
sc362_spa_5	Even when you have so many Childs,\you don't just pay attention to me, but to all of them.\I think you're actually pretty strong, Mr. Wannabe Demon.
sc362_spa_max	I never gave much thought to the future.\It's been on my mind a bit more lately, though.\Thinking of when the Archfiend Contest ends\—10, maybe 20 years later—\and it's made the future more exciting.
sc363_spa_1	This place is freakin' great.\I gotta tell Logan about this!
sc363_spa_2	I want to stay here for ever!\Right, maybe I should just steal the hot springs?
sc363_spa_3	Stop nagging me. I know stealing is bad.\Says the person who steals the souls of mortals...
sc363_spa_4	Everyone has a treasure of their own. That includes you. What could that be? I'm so curious. Tee hee~ Don't be afraid.
sc363_spa_5	You are too nice for a demon. Try being a little more honest with yourself. You have something you want, right?
sc363_spa_max	You know, I never pass up on something once I've set my eyes on it.\Demon, what do you desire? I'll bring it to you.
sc364_spa_1	Mmm, it's like my stress is melting away... Oops. My candy melted away too. Hee hee ♥
sc364_spa_2	What sort of candy do you like? I'm a big fan of a nice minty flavor, myself.
sc364_spa_3	I'm counting on you to make my pactmaker's wish come true. It's my wish too, after all...
sc364_spa_4	They say nothing in this world lasts forever. But love sure does, don't you think?
sc364_spa_5	I made a special sort of candy just for you. You're going to love it, I swear! Hee hee hee... ♥
sc364_spa_max	You know what love is, right? Don't try and pretend you don't. I know you do, because, well...I've already fallen this hard for you.
sc365_spa_1	Don't worry,\I'm waterproof.
sc365_spa_2	Don't worry—the temperature I reach when I overheat is far higher than these waters. Hm? That's not what you're worried about? What seems to be the issue, then?
sc365_spa_3	I came here in search of new inspiration. I've heard that the right amount of water pressure can cut through a diamond, so I thought I could make use of facilities here.
sc365_spa_4	Time for maintenance, is it? I truly wish I did not have to leave these waters. If I had known better, I would have come after maintenance instead.
sc365_spa_5	I've learned that sometimes even I can make mistakes. No one born with emotion is ever perfect. I only hope that you will help guide me if I ever seem to be wandering astray.
sc365_spa_max	Now that you've brought me here to this hot spring, I can now handle more intricate adjustments. Feel free to consider me ready for battle. Keep in mind that I will still need your help. Heh.
sc366_spa_1	We put in another day of hard work today, so let's just kick back and not worry about what's in store tomorrow.
sc366_spa_2	I feel like there's all this energy just bubbling up inside me. Hee hee!
sc366_spa_3	Phew, I'm beat. ...Hmm? Oh, no, not because of you. Hee hee. You DO know what I mean, though, right?
sc366_spa_4	I've been told there are some things that no amount of hard work can get you through. But I don't believe that one bit. I mean, what else have I got besides my work ethic?
sc366_spa_5	It's okay to make mistakes. We can work our way through fixing them together. No need to get spooked by a little slip-up, eh, Mr. Demon?
sc366_spa_max	You have dreams of your own, right, Mr. Demon? They'll come true, I promise! Let's work towards them together until they do!
sc367_spa_1	If only every day could be like today.
sc367_spa_2	Hrmph... Why is Mona always raving about this stupid place? I want out of this sweltering deathtrap! ...Huh? What? No! Nothing! Just trying to figure out what makes Mona tick!
sc367_spa_3	Ugh! This is how you treat an Archfiend? With a boring old bath like this? Hurry up and redecorate it for me! Blanket it with blood-red roses!
sc367_spa_4	Ahhh, yes, how refreshingly cool! This is just the right temperature for an Archfiend like me. Although, I guess a "cool" hot spring doesn't make much sense...
sc367_spa_5	You there! With the stupid haircut! Bow before me and swear your fealty! Do that, and you may leave with your life. Oh-ho-ho!
sc367_spa_max	If I get stronger than you, then you'll have to be MY child! And how lucky you'll be! Servant to Archfiend Davi! Oh-ho-ho!
sc370_spa_1	*sigh* Nothing like a soak to take away the weariness of travel!
sc370_spa_2	It's easy to forget what time of year it is when you dip into one of these hot springs. They're fascinating in that way—and so unlike back in the Infernal Realm.
sc370_spa_3	Oh, Master... Were you out looking for me? Aw, no need to be so worried! Let's head back, then. ...Hmmm? I've got it all wrong? Oh, come now—no need to be bashful!
sc370_spa_4	You don't have to act all shy like when we first met, you know. Teehee. I always look forward to this, you know ♥
sc370_spa_5	This bath is just perfect. But we should be going soon. I don't imagine you can put up with this for much longer, can you, my adorable little master? ♥ Teehee. Thank you for waiting.
sc370_spa_max	To think there are masters like you in the world... You know, my first time in battle was...well, no matter. Heh. That's all in the past now. And no good lady lets her past haunt her!
sc371_spa_1	Hopping from the cold bath to a hot one is the textbook definition of bliss. Ahhh...
sc371_spa_2	I might not be able to enjoy a life in the Mortal Realm the way Mona does, but I can at least pretend.
sc371_spa_3	It's comical, really. Demons and humans alike both seem to be drawn to hot baths like these. The warm waters must really touch something fundamental within all of us.
sc371_spa_4	I thought I had my health and fitness regimen in perfect balance, but coming here, I finally understand what people mean when they say they can't shake their exhaustion. Maybe this is more an emotional issue than a physical one.
sc371_spa_5	It's impossible to stay completely alert to something at all times, even if you have every intention to. The one part of ourselves we can't control is our mind. It's absurd, really.
sc371_spa_max	Heh, don't you worry. I'll be back to my usual self soon, and I'll see to it that you become Archfiend. Prepare yourself, though, because I'll be going all in.
sc372_spa_1	I like the sea more than hot springs.
sc372_spa_2	Heh heh! Now my skin is all silky smooth! And that breeze is soft as silk, too. I could get used to this.
sc372_spa_3	I lost one of my toys—a little floating rubber ducky. I snuck it in here when Mona wasn't looking. ...Wait, really? You'll help me find it?!
sc372_spa_4	It's all just water, right? So why are there different bathing suits for each type of bath or pool or whatever? Humans get so weird with their rules sometimes.
sc372_spa_5	Mona is really something else. How can she control that urge to just splash around in here? I guess it's all that training she's been through to be the top succubus. *blows bubbles*
sc372_spa_max	Heh heh! I worked out the greatest plan of all! They say there's this real great treasure in the middle of the ocean, and whoever finds it gets to be the new pirate king! Mona says it's too dangerous, so I figured you could help!
sc373_spa_1	Ahhh, I feel that in my bones... Oop, almost fell asleep back there.
sc373_spa_2	Come on, man, why are you hiding in the corner? Get over here!
sc373_spa_3	I think I could learn to like these "hot springs" or whatever they're called.
sc373_spa_4	Let's see which one of us can stay in longest!
sc373_spa_5	Hey, what's your go-to drink when you get out? Me? I'd have to go with coffee milk, probably.
sc373_spa_max	All right, when we head out, how's about I grab a coffee milk for ya? I won't take no for an answer!
sc374_spa_1	Oh, I am just so, so happy right now! ♥ I'd be even happier if you were here with me. Hee hee! ♥
sc374_spa_2	I think I like this place. I should tell Morgan and Pomona about it. Oh, but Morgan would never come alone.
sc374_spa_3	Over here, my little customer! ♥ How about the two of us get nice and warm together? ♥ Hey! Are you really going to run from me again? You really are a shy one.
sc374_spa_4	I'm really happiest whenever I'm with you, little customer ♥ Now if only you felt the same way about me...
sc374_spa_5	I'll look out for you, my little customer, don't you worry ♥ But first, I'm going to need you to throw a nice wedding for the two of us! Hee hee! ♥
sc374_spa_max	You know I'm really happy to have met you, yes? Thank you for becoming my master ♥
sc377_spa_1	Trying to shake off those marriage blues, hmm? Makes sense. I was just thinking I needed some time off, myself.
sc377_spa_2	I've never seen so many demons and Childs in one place before. I thought I'd find myself a bride and head straight back to the Infernal Realm once the Contest was over, but that might be tough while Pomona is here...
sc377_spa_3	I'm going to try and think of the past as a fun bunch of memories. ...What am I talking about, you ask? My plan to marry Pomona, of course. Don't you go poking fun—I wasn't going to give her a hard time.
sc377_spa_4	Are you okay? You look really worn out. If you're feeling sick, I can call the owner. Are you sure you can walk on your own?
sc377_spa_5	This is the first time I've relaxed so much since I took up the Bride's Ring. I was always surrounded by potential brides back on my island, you see.
sc377_spa_max	Well, I suppose your plan worked, because I feel I've come to know you a lot better. I'm not one to make friends, though, so...hm. Oh, you could announce yourself as another bridal candidate! Ahaha, I'm just kidding.
sc378_spa_1	Ahhh. Sometimes a nice soak is exactly what the doctor ordered.
sc378_spa_2	Hm? This place can heal wounds, too? That's good to know.
sc378_spa_3	These hot springs can heal your wounds, yes? That means I can fight against Athena without holding back, then, right?
sc378_spa_4	You think I should bathe alongside Athena? Don't be ridiculous.
sc378_spa_5	Does she... Does Athena come around here, too?
sc378_spa_max	Well, I guess if you insist, then... I wouldn't be against coming here with her.
sc379_spa_1	Bathing in the nude... How shameless!
sc379_spa_2	O-Oh... Is this what they mean by "baring everything" in a relationship?
sc379_spa_3	I think I've grown to like this so-called "hot spring." I can feel my injuries and fatigue washing away...
sc379_spa_4	Why do you turn away from me, Master?
sc379_spa_5	I wish I could bring you-know-who to this place. I'm sure she would enjoy it. Don't you agree, Master?
sc379_spa_max	Let's all come back here together again sometime.
sc381_spa_1	What have you got on your mind, bringing me to a place like this? Hm? ...You want to bathe together with me, is that it?
sc381_spa_2	Do you think my special love candy is unfair, too? I pour my heart into making it every time, you know!
sc381_spa_3	No matter how much time or thought you invest in it, love is tough. Maybe it's just something you figure out as you get older. What even IS true love...?
sc381_spa_4	Don't go treating me like a child. I'm just not used to this, that's all. The feelings I have for you are genuine.
sc381_spa_5	They say love makes people fools, and I'm starting to believe them. By the way, you're looking mighty handsome today. Hee hee... I'm just teasing.
sc381_spa_max	You don't even know what love is? I guess you're still basically a kid yourself, huh? Heh, but don't you worry—we can both figure this all out together.
sc382_spa_1	What? If you're going to whine, do it later. I'm sure you've got nothing good to say.
sc382_spa_2	This is supposed to be a hot spring from the Infernal Realm? A bit lukewarm, wouldn't you say? Isn't the Infernal Realm supposed to be all fire and brimstone? Not that I would know.
sc382_spa_3	Ugh. I never would have agreed to any pact if I knew I'd have to look after a demon... Does he even realize I'm the only reason he's still alive?
sc382_spa_4	You have as bad a mouth as Frej. I'm honestly impressed. I wish I could be as brazenly shameless as you.
sc382_spa_5	You'd have preferred a much more fabulous sort of Child, right? One that stands five meters tall, with claws and fangs and the like. That would have suited me much better...
sc382_spa_max	I've never been truly happy for so much as a single moment. I imagine the same goes for my pactmaker. I may have enjoyed myself here or there, but...only a little. Not that I expect you to understand. Ugh...
sc383_spa_1	Do we really have time to waste here? Man, you're laid-back to a fault.
sc383_spa_2	I feel like I always get the short end of the stick in the Mortal Realm. Just when things seem to be picking up, something has to go wrong...
sc383_spa_3	That Neamhain... I caught her making these weird dolls. I wanted to toss 'em, but it's hard to do when it's a doll of you...
sc383_spa_4	How did I wind up stuck with such a weak-ass punk? How am I supposed to uphold the "Bad Boy Frej" name like this? ...Hey! Don't you dare give me that look! I don't need your pity!
sc383_spa_5	I just don't get it. Why do both Eve and Lisa keep praising this guy? What's he got that I don't?
sc383_spa_max	I feel like I'm on cruise control to an early death at this rate. I wonder what Lisa meant when she told me to "get serious." Hey, wannabe... You be careful. Don't go dying until I'm the one doing the killing.
sc385_spa_1	Ahh, this feels so good...\I wish Miss Helena was here, though...
sc385_spa_2	Teehee. This is so nice...\There's no point in having a hot spring if you don't use it, right!
sc385_spa_3	My wish? I want to prove to Miss Helena that I'm a full-blown grown-up!
sc385_spa_4	Oh, Mr. Owner! You'd better appreciate that you get to go in a hot spring with me!
sc385_spa_5	What do I have to do to make these cantaloupes into watermelons...? Ah! Y-You didn't hear that, did you?! Don't be such a creep, Mr. Owner!
sc385_spa_max	I'll help you achieve your dream, Mr. Owner!\That's what we servants live for, after all.
sc386_spa_1	They say hot springs can cleanse your very soul.\It really is soothing in here...
sc386_spa_2	It's so nice and quiet here.\Don't you agree, Mr. Owner?
sc386_spa_3	M-My job? That's a secret...
sc386_spa_4	Do you believe in fortune telling?\Huh? It's childish? No it's not!\It can be really helpful.
sc386_spa_5	I want to do something to repay you, Mr. Owner. ...Oh, I know! Let me choose a swimsuit for you.
sc386_spa_max	I see you wore the swimsuit I got you. Thank you. I hope I can keep helping you out—as your partner.
sc387_spa_1	*yaaawn* Hot springs really are the best. I can feel the stress melting away.
sc387_spa_2	I'm so glad I got to meet everyone. Th-That goes for you, too, of course.
sc387_spa_3	Why do I like taking baths? Because they feel so good, of course! Plus, they really help with my stiff shoulders.
sc387_spa_4	You can talk to me about anything. If there's anything I can do to help, I'll do it! ...Huh? That's what worries you? Hmph.
sc387_spa_5	Watch this, Mr. Owner.\I'm gonna try imitating you!\...On second thought, that sounds kind of embarrassing.
sc387_spa_max	My grandmother and I always bathe together. She says it's important for families not to hide anything from one another.
sc390_spa_1	I'm so glad I followed Mom here.
sc390_spa_2	Long ago, Mom and I used to... Bah, now's not the time! Let's get this show on the road! My magic's supercalifragilistic!
sc390_spa_3	Huh? You want me to explain my magic tricks? *sigh* A true gentleman wouldn't ask that of a lady.
sc390_spa_4	The greatest magicians bounce back from their mistakes to reach even greater heights! Does that make you feel any better?
sc390_spa_5	The true thrill of magic lies in the surprise! Hee hee... This'll knock your socks off. I'll put on the greatest show of all time.
sc390_spa_max	Spectators like you are pretty rare. Hee hee hee... You're funny! Okay, I've got even more surprises in store for you!
sc391_spa_1	I'm merely resting a spell. The night is long and more festivities are yet to come!
sc391_spa_2	Hee hee hee. Even short dreams are meant to be enjoyed. Unending dreams just end up being painful, don't you think?
sc391_spa_3	Haha! Meeting you was a happy coincidence. Ailill and Typhon feel the same—especially Typhon. He never cared about anyone else before.
sc391_spa_4	You're pretty forward for someone who says he's shy. Maybe you don't realize it, but that's dangerous in its own way. ...What am I talking about? Think long and hard about it.
sc391_spa_5	Dreams are fun because they end in the morning. An unending illusion is no different from death. Please try to always keep in mind where you are and what you're doing.
sc391_spa_max	So? Have I made an impression? Do you have happy memories of me? If so, I'm glad! We're Samhain Party ♪ A dream that can only be seen on Halloween!
sc392_spa_1	I don't wanna go to a place like this with YOU. Where's Mona?
sc392_spa_2	Mona is everything to me. Don't you dare get between us.
sc392_spa_3	I only wanted to love Mona...but I guess I ended up hurting her.
sc392_spa_4	I've realized...that it's better for me to be away from Mona. That's all I can do.
sc392_spa_5	I get it now. Mona loves me more than anyone else. If only I'd realized that sooner...
sc392_spa_max	Protect me 'n Mona in my place—so that she can be even happier than me.
sc393_spa_1	It's rare for an aide to have such a magnanimous demon. Teehee ♥
sc393_spa_2	A world where everyone can exist in harmony... Teehee! That sounds like a dream.
sc393_spa_3	It was my dream to make my master into the Archfiend. But now...
sc393_spa_4	Will you abandon me someday? Teehee! Your reactions are always the best.
sc393_spa_5	Will you promise me that you'll create an Infernal Realm where everyone can live happily?
sc393_spa_max	You're proud to have me as your aide? Then do your best to be a worthy master.
sc394_spa_1	Shall I wash thy back, Master? Teehee, I'm just kidding. Oh my, look at you—you're beet-red!
sc394_spa_2	Were you surprised to see my courtesan form? D-Don't be like that. I know I need to study more. That's why I'm reading a book right now.
sc394_spa_3	Courtesan culture is fascinating. Women living together... Oh! Could this be the ideal world I'm after?
sc394_spa_4	Isn't courtesan language so interesting? Speaking of which, did you know the word "courtship" derived from courtesan culture?
sc394_spa_5	It is a courtesan's job to make a dream come true, if only for a single night. That is why they train and study every day. What is your dream, Master? To eat delicious food? That's too bad. I'm still working on my cooking skills.
sc394_spa_max	Apparently, the gorgeous kimono worn by courtesans are akin to wedding attire. Would you wear this kimono someday for me? Hm? "No way in hell?" Ugh, you're so churlish, Master.
sc395_spa_1	Thank you. I feel refreshed now. I hadn't realized how exhausted I was.
sc395_spa_2	*sigh* Perhaps I lacked determination. I underestimated the Archfiend Contest. Here I thought it would be over in a flash and I could return home.
sc395_spa_3	Hmmm. I've learned a lot since then. I realized that walking around in this outfit during the daytime would make people think I'm some kind of juvenile delinquent. I see now just how rough you had it.
sc395_spa_4	Don't get the wrong idea—I don't know what you think, but I still consider you an enemy. And yet you completely let your guard down around me. I suppose it's in your nature be vexing.
sc395_spa_5	You call out to me and show me kindness despite not knowing who I am. That's just like you. Do you understand now why I say you're so similar to humans?
sc395_spa_max	You and Frej may treat me like some kind of idiot, but I'm the only demon who has so clearly seen the sun set on the Mortal Realm. Hm? Did you just laugh? Did I say something funny?
sc396_spa_1	Hurry up! I was waiting for you, Kitty!
sc396_spa_2	You're still trembling with fear that I might run away, yeah? It's fiiine. This form's really fun.
sc396_spa_3	The world is so big that you'll never be able to see all of it in a single lifetime. Knowing that, doesn't it seem stupid to stay in one place?
sc396_spa_4	Aw, don't be sad. You're really special to me, Kitty. Ahaha! You look like you don't believe me at all!
sc396_spa_5	Something tells me...that parting is just the start of a new set of encounters. All I know is that we'll definitely meet again.
sc396_spa_max	Don't worry. Even if we can't see each other, it's not like we'll be apart forever, Kitty. I'll come whenever you call.
sc397_spa_1	Delivering presents, bringing joy to countless people, and on top of that, a nice warm bath... This is the life!
sc397_spa_2	How do you like my Santa outfit? Doesn't it look wonderful? A queen must give the common people what they want every now and then! ...What? They're the ones doing ME a favor? How rude!
sc397_spa_3	Chicken is a must at Christmastime! Hm? What else will we eat, you ask? A whole roast turkey. Wait, that's practically the same as chicken.
sc397_spa_4	Christmas is such a sublime occasion! We should celebrate it every day. Hm? That would be hard on Santa? Yes, I suppose you're right.
sc397_spa_5	What's a good present, you ask? Hmmm, perhaps something that can fetch a good price? I used to sell my gifts for money. ...What's with that look? These days, I think I'd prefer a delicious meal.
sc397_spa_max	I'm usually the one who receives gifts. That's why I hadn't realized how good it feels to give. You'll treasure my gift, won't you, Servant?
sc398_spa_1	So waaarm... Makes me glad to be alive.
sc398_spa_2	How the heck am I gonna swipe the Hades Flower?\What the...? Were you eavesdroppin'?
sc398_spa_3	What do I care\about the Archfiend Contest?!\I've had about all I can take of demons!
sc398_spa_4	You wanna be friends?\I suppose you are different\from other demons.\Still, it ain't happenin'!
sc398_spa_5	Demons are all thieves.\At least, that's what I used to think.\But I've had to rethink that since meetin' you.
sc398_spa_max	Why be scared of fightin' other demons?\You've got nothin' to fear, long as I'm here.
sc400_spa_1	This's a nice place. I wanted to bring Mama and the others too, but...I can't, can I?
sc400_spa_2	I was always with my family. Well, not anymore. No matter how much time passes, I just can't get used to being apart from them.
sc400_spa_3	Did you know that people become butterflies when they die? Maybe they're born from the wishes of those who love the dearly departed.
sc400_spa_4	You look lonely sometimes, Master. But you have such a huge family! You're just plain greedy.
sc400_spa_5	Hey, Master. Would you put more trust in me? I wanna fight for you.
sc400_spa_max	I'll protect you, Master. After all, you're my family. You consider me family too, right?
sc402_spa_1	I'm still in the midst of my investigation, and yet...
sc402_spa_2	It's nice to relax like this every now and then.
sc402_spa_3	Hot springs always make me think of hot spring eggs. Maybe I'll try making one.
sc402_spa_4	Why are you staring at me like that?
sc402_spa_5	An important part of work is recovering from daily exhaustion!
sc402_spa_max	I'd love to come here with Makoto and Tsubaki sometime.
sc403_spa_1	A hot spring! Sweet!
sc403_spa_2	Whoa, the fur on my tail is floating!
sc403_spa_3	Come on, relaaax!
sc403_spa_4	This place is nice and all, but it makes me wonder how it compares to other hot springs.
sc403_spa_5	Hot springs are especially nice after working up a sweat.
sc403_spa_max	Come on in! You'll warm up even more if you join me!
sc404_spa_1	This doesn't compare to the humiliation I suffered.
sc404_spa_2	Why did you get in before me?!
sc404_spa_3	The bath here is rather nice, isn't it?
sc404_spa_4	Even I grow exhausted at times.
sc404_spa_5	A mere hot spring shouldn't be so...rejuvenating.
sc404_spa_max	Too bad we can't go in together...don't you think?
sc405_spa_1	I suppose I must admit there was SOME merit in choosing to trust and follow you.
sc405_spa_2	The Archfiend must have certain qualities,\which you lack rather profoundly.
sc405_spa_3	What kind of Archfiend do you wish to become?\Are you confident that you can rule the Infernal Realm?
sc405_spa_4	Sir Rufus must become king of the Infernal Realm.\He is the sole demon able to create something\from nothing.
sc405_spa_5	I am only helping you\because Sir Rufus ordered me to.\In any case, I will do my best.
sc405_spa_max	Sir Rufus's orders are absolute.\I will offer my utmost cooperation until he says otherwise.
sc406_spa_1	Purrfect...
sc406_spa_2	Hot springs are so wonderful.
sc406_spa_3	Aaahhh!
sc406_spa_4	This water is awesome!
sc406_spa_5	I'm not allowed to swim?
sc406_spa_max	Hot springs are the best!
sc407_spa_1	*sigh* Hot springs feel so nice. Fennec should come in too.
sc407_spa_2	This feels pretty good.
sc407_spa_3	I dipped my shoulders in and counted up to thirty!
sc407_spa_4	I-I won't swim around, promise!
sc407_spa_5	*sigh* I feel like I'm in paradise.
sc407_spa_max	Next time I'll invite Fennec to come, too.
sc408_spa_1	This is such a great place.
sc408_spa_2	Aaah, it's so warm.
sc408_spa_3	Ringtail, did you count up to thirty?
sc408_spa_4	No swimming allowed.
sc408_spa_5	You're not dizzy, are you?
sc408_spa_max	Ringtail, let's come here again.
sc409_spa_1	Let's splash around!
sc409_spa_2	Aren't I just like a marshmallow donut right now? *gasp* Oh no! What'll I do if I melt?
sc409_spa_3	Soaking in hot water for sooo long makes me feel like I've turned into a donut. Didja know? Some donuts are boiled in water!
sc409_spa_4	Don'tcha think donuts are best when you eat them while they're still piping hot? That's why saving them for last just 'cuz you like 'em is the worst thing you could do!
sc409_spa_5	All the blood's gone to my head and I'm redder than red. But doesn't it make me look like a strawberry donut? Wanna have a taste of me, Master? Teehee ♥
sc409_spa_max	*sigh* ♥ This feels so good ♥ Next time, I'll bring some donuts for us to eat! ♥ What's with that look? You're the one who taught me how fun it is to share with other people!
sc410_spa_1	Did you think something like\this would satisfy me?\Bring me some cold water.
sc410_spa_2	Oh my! If it isn't the little master.\What, got something to say?\I'm only telling the truth. You're little.
sc410_spa_3	What if the Archfiend couldn't rule the Infernal Realm?\We could fight all day, every day.\Isn't that exciting?
sc410_spa_4	Thank your lucky stars that you met me.\This is the first and last time\I'll ever be someone's familiar.
sc410_spa_5	I'll give you a crown.\Now, kneel and accept my gracious gift.
sc410_spa_max	If you wish to become Archfiend, I'll help you in any way I can.\In exchange, you must show me a place\where I can fight to my heart's content.
sc412_spa_1	Give me the courage to not be swayed\by Satan's snares.
sc412_spa_2	Hey, Abel.\It's shaping up to be another enjoyable day.\It was the Lord's guidance that allowed us to meet like this.
sc412_spa_3	Abel, are you skipping work again?\I worry about your frivolous ways.\Although, I suppose you'll do just fine on your own.\You are my little brother.
sc412_spa_4	Hadn't seen you for a time there, Abel.\Oh, what's this?\Have you grown shy?\Haha, I kid.
sc412_spa_5	I always dream that I'm scolding you.\I'm lost in a rage and hollering...you...\Oh, but listen to me, what am I saying?\I must be tired.\Let's go home.
sc412_spa_max	If we go back to the Vatican we can be together again.\I have a cute disciple now. It would be fun.\I hope you like her, too.\Virupa's a wonderful disciple.\But she yet wants for training. We have much to teach her.
sc414_spa_1	Water gun fights aren't allowed at hot springs. Even a Hydro Shooter knows that.
sc414_spa_2	I won't turn my gun on an opponent who's fleeing. That's my water gun fight philosophy.
sc414_spa_3	Is Annie still going on about that? Like I said before, the eighth win wasn't Annie's—it was mine.
sc414_spa_4	If someone picks a fight with me, I'll take 'em on. That's the creed of all gunners—which is exactly why you don't have what it takes to be a Hydro Shooter.
sc414_spa_5	I have a lot of stuff I wanna talk with you about, so I've been waiting. First up: let's dish about the newest water gun model!
sc414_spa_max	You oughta teach the people who make fun of you a lesson. You're a more amazing demon than you think, y'know.
sc415_spa_1	Cool mountain streams are nice, but lukewarm hot springs ain't bad either.
sc415_spa_2	How can you enjoy summer if'n ya don't like getting wet?
sc415_spa_3	Don't be scared of yer opponent's muzzle. Only those who press forward without lookin' back can become Hydro Shooters.
sc415_spa_4	Put everythin' you've got on the line and face yer opponent. That's what bein' a Hydro Shooter's about.
sc415_spa_5	Quit spacin' out way over there 'n come in the water already. Heh heh heh...
sc415_spa_max	Yer opponent's strength ain't important. You're the one who holds the key to victory. I might just become that key for you, if yer lucky.
sc416_spa_1	Oh yeah. This is a secret, but...\I'll tell you anyway.\That lady's been staring at you\this whole time.
sc416_spa_2	Huh?\I thought I heard someone.\Oh, don't worry.\I'm sure it was just my imagination.
sc416_spa_3	If you walk around here by yourself,\you can see a strange light.\It's not from fireflies or stars.\It's a kind of sad, melancholy light.
sc416_spa_4	Strange stuff happens everywhere,\whether it's the Mortal Realm or the Infernal Realm.\Don't be so scared.\It's actually pretty fun to watch from afar.
sc416_spa_5	I thought you were pathetic,\but you're actually just a scaredy-cat.\That's not really befitting of a demon, though.\Ha ha ha!
sc416_spa_max	You're actually jealous of humans, aren't you?\Ha ha ha! That face says it all.\I never get tired of watching you.\
sc417_spa_1	Hey now! Do NOT touch my tail without permission.
sc417_spa_2	You want to touch my tail that much? Fine... Just be gentle.
sc417_spa_3	I wish to eat your grilled meat here as well. Even a small amount will suffice, so long as you have cooked it yourself.
sc417_spa_4	Finding new love is no simple matter. Ah... I wonder if someone over there will become my partner?
sc417_spa_5	Recently, my appetite for meat is sated much more easily. And that is because...you yourself have satisfied me.
sc417_spa_max	I am sure you've noticed, but meat is a necessity for me. However, if I had to choose between meat and you, I would choose you. That is all.
sc418_spa_1	Ahhh... This is a very...relaxing place.
sc418_spa_2	This hot spring feels so wonderful, it's almost like one of Tamamo's charms. Marvelous...
sc418_spa_3	I have fought evil and protected everyone...precisely for this moment.
sc418_spa_4	Ahhh. I know I can't let my guard down no matter the circumstances, but every time I come here, my heart melts.
sc418_spa_5	On occasion, I've mused that the warmth of a hot spring and the warmth of a heart are very similar. Don't you think so too, Boss?
sc418_spa_max	This place really does feel great. If only everyone could feel the way I do right now—then maybe the world would be more peaceful.
sc419_spa_1	Uh... Would you mind not staring at me like that? It's kinda creepy.
sc419_spa_2	...You must like what you see.
sc419_spa_3	Welcome.
sc419_spa_4	It's okay. But it's a bit embarrassing...
sc419_spa_5	So... How do you feel about me...?
sc419_spa_max	You're gonna make me say it? You're so kinky…
sc420_spa_1	Ah, I feel so refreshed.
sc420_spa_2	There something you want to tell me?
sc420_spa_3	Hey, don't give me that look.
sc420_spa_4	...Am I really that undesirable to you?
sc420_spa_5	Have you been busy recently?\Or has something been weighing on your mind?
sc420_spa_max	I love you.
sc421_spa_1	Hmmm-hmmm ♪
sc421_spa_2	Don't worry. It's nothing.
sc421_spa_3	I'll be waiting, so please come again.
sc421_spa_4	Know that I'll always be there for you.
sc421_spa_5	I tried to hide\my feelings from you.
sc421_spa_max	I love you.
sc422_spa_1	You're so funny, my little demon.\You sure go out of your way to score points with me\considering you supposedly can't stand me.
sc422_spa_2	How could the population become so low?\*sigh* What's the world coming to?
sc422_spa_3	First, you get squeaky clean.\And then, you know what happens, right?
sc422_spa_4	I must get the bed nice and clean.\Hygiene is very important.
sc422_spa_5	The first time is nerve-wracking, isn't it?\Not to worry.\I'll take the lead. ♥
sc422_spa_max	Did you not say you would grant my wish?\I think it's about time\you followed through. ♥
sc423_spa_1	Oh...\Is this what heaven is like?\
sc423_spa_2	Ahhh.\This hot spring is fantastic.\When I get married,\I want a house with a hot spring included.\*sigh* I feel like I'm gonna melt.
sc423_spa_3	Sometimes I wonder\if my fetish for weaklings\has anything to do with gender after all.
sc423_spa_4	I had a dream the other day.\I was in a fantastical garden, surrounded by feeble male demons.\...Oh, no no no, darling!\You're the only one I love! I promise!
sc423_spa_5	When you're not around,\it feels like something is missing.\Please stay by my side always, darling.\Teehee... Hee hee hee...
sc423_spa_max	At my ideal hot spring...\the towels and foot mats would all be your clothes, darling.\And the ceiling and walls would be decorated with your clothes as well!\...Oh, leaving already, darling?\No, no! Please wait!
sc425_spa_1	His mercy is infinite.\How can I leave Him?
sc425_spa_2	I do my best to follow your commands\because you are the one who gives me purpose.
sc425_spa_3	No one can truly understand God's will.\Therefore, arrogant one, wait for the time to come.
sc425_spa_4	Do you know what is right or wrong? Do you know\where our paths end?
sc425_spa_5	When our battle is over, God will host a banquet.\But there will be no place set for me...
sc425_spa_max	God created my body.\But who placed my soul in it?
sc426_spa_1	I'm not interested in relaxation.
sc426_spa_2	Hmmm... Staying in here for a long time is harder than I thought.\*sigh* I'm so hot.
sc426_spa_3	Ugh... I gotta endure it! I can't lose to a bunch of hot water! But I feel like I'm starting to see stars.\Or is that my imagination?
