// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	Cheveux tombés	Chacun des brins de ces cheveux montre des traces spirituelles.
50120204	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120205	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120213	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120214	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120215	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120301	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120302	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120303	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120304	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120305	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120313	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120314	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120315	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120401	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120402	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120403	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120404	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120405	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120413	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120414	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120415	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120501	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120502	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120503	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120504	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120505	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120513	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120514	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50120515	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121301	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121302	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121303	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121304	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121305	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121313	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121314	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121315	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121401	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121402	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121403	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121404	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121405	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121413	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121414	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121415	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121501	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121502	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121503	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121504	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121505	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121513	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121514	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50121515	Noyau Amp. ATQ	Noyau d'Ignition d'<color=ff17b0>ATQ amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Zayin, qui représente la puissance, brille.
50130101	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130102	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130103	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130104	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130105	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130112	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130114	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130115	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130201	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130202	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130203	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130204	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130205	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130212	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130214	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130215	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130301	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130302	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130303	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130304	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130305	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130312	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130314	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130315	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130401	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130402	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130403	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130404	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130405	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130412	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130414	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130415	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130501	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130502	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130503	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130504	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130505	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130512	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130514	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50130515	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131201	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131202	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131203	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131204	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131205	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131212	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131214	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131215	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131401	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131402	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131403	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131404	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131405	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131412	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131414	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131415	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131501	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131502	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131503	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131504	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131505	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131512	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131514	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50131515	Noyau Amp. DÉF	Noyau d'Ignition de <color=00e2f0>DÉF amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Chet, qui représente la protection, brille.
50140101	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140102	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140103	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140104	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140105	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140112	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140113	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140115	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140201	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140202	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140203	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140204	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140205	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140212	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140213	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140215	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140301	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140302	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140303	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140304	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140305	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140312	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140313	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140315	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140401	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140402	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140403	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140404	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140405	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140412	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140413	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140415	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140501	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140502	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140503	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140504	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
50140505	Noyau Amp. AGI	Noyau d'Ignition d'<color=d3da00>AGI amplifiée</color>.\Il contient 3 types de stats.\La lettre hébraïque Tet, qui représente la sagesse, brille.
